# MEGA immigration city sweep — Tier 1 first-world English markets
# Format: City, Province/State (or country abbrev)
# 300+ cities across CA/US/UK/AU/NZ/IE

# ═══ CANADA (60 cities) ═══
Toronto, ON
Mississauga, ON
Brampton, ON
Markham, ON
Hamilton, ON
Ottawa, ON
Vaughan, ON
London, ON
Windsor, ON
Kitchener, ON
Waterloo, ON
Oshawa, ON
Burlington, ON
Oakville, ON
Richmond Hill, ON
Ajax, ON
Whitby, ON
Barrie, ON
Guelph, ON
Kingston, ON
Sudbury, ON
Thunder Bay, ON
Niagara Falls, ON
St. Catharines, ON

Montreal, QC
Laval, QC
Quebec City, QC
Gatineau, QC
Longueuil, QC
Sherbrooke, QC

Vancouver, BC
Surrey, BC
Burnaby, BC
Richmond, BC
Coquitlam, BC
Victoria, BC
Langley, BC
Delta, BC
Kelowna, BC
Abbotsford, BC
Kamloops, BC

Calgary, AB
Edmonton, AB
Red Deer, AB
Lethbridge, AB

Winnipeg, MB
Regina, SK
Saskatoon, SK

Halifax, NS
St. John's, NL
Moncton, NB
Fredericton, NB
Saint John, NB
Charlottetown, PE

# ═══ USA (120 cities) ═══
New York, NY
Los Angeles, CA
Chicago, IL
Houston, TX
Phoenix, AZ
Philadelphia, PA
San Antonio, TX
San Diego, CA
Dallas, TX
San Jose, CA
Austin, TX
Jacksonville, FL
Fort Worth, TX
Columbus, OH
Indianapolis, IN
Charlotte, NC
San Francisco, CA
Seattle, WA
Denver, CO
Washington, DC
Nashville, TN
Oklahoma City, OK
El Paso, TX
Boston, MA
Portland, OR
Las Vegas, NV
Detroit, MI
Memphis, TN
Louisville, KY
Baltimore, MD
Milwaukee, WI
Albuquerque, NM
Tucson, AZ
Fresno, CA
Sacramento, CA
Kansas City, MO
Mesa, AZ
Atlanta, GA
Omaha, NE
Colorado Springs, CO
Raleigh, NC
Miami, FL
Long Beach, CA
Virginia Beach, VA
Oakland, CA
Minneapolis, MN
Tulsa, OK
Arlington, TX
Tampa, FL
New Orleans, LA
Wichita, KS
Cleveland, OH
Bakersfield, CA
Aurora, CO
Anaheim, CA
Honolulu, HI
Santa Ana, CA
Riverside, CA
Corpus Christi, TX
Lexington, KY
Stockton, CA
Henderson, NV
Saint Paul, MN
St. Louis, MO
Cincinnati, OH
Pittsburgh, PA
Greensboro, NC
Anchorage, AK
Plano, TX
Lincoln, NE
Orlando, FL
Irvine, CA
Newark, NJ
Toledo, OH
Durham, NC
Chula Vista, CA
Fort Wayne, IN
Jersey City, NJ
St. Petersburg, FL
Laredo, TX
Madison, WI
Chandler, AZ
Buffalo, NY
Lubbock, TX
Scottsdale, AZ
Reno, NV
Glendale, AZ
Gilbert, AZ
Winston-Salem, NC
North Las Vegas, NV
Norfolk, VA
Chesapeake, VA
Garland, TX
Irving, TX
Hialeah, FL
Fremont, CA
Boise, ID
Richmond, VA
Baton Rouge, LA
Spokane, WA
Des Moines, IA
Tacoma, WA
San Bernardino, CA
Modesto, CA
Fontana, CA
Santa Clarita, CA
Birmingham, AL
Oxnard, CA
Fayetteville, NC
Moreno Valley, CA
Rochester, NY
Glendale, CA
Huntington Beach, CA
Yonkers, NY
Aurora, IL
Salt Lake City, UT
Amarillo, TX
Montgomery, AL
Little Rock, AR
Akron, OH
Columbus, GA
Augusta, GA

# ═══ UNITED KINGDOM (50 cities) ═══
London, UK
Birmingham, UK
Manchester, UK
Liverpool, UK
Leeds, UK
Sheffield, UK
Bristol, UK
Newcastle, UK
Nottingham, UK
Leicester, UK
Coventry, UK
Cardiff, UK
Belfast, UK
Swansea, UK
Southampton, UK
Portsmouth, UK
Bradford, UK
Derby, UK
Plymouth, UK
Stoke-on-Trent, UK
Wolverhampton, UK
Kingston upon Hull, UK
Sunderland, UK
Norwich, UK
York, UK
Cambridge, UK
Oxford, UK
Brighton, UK
Aberdeen, Scotland
Glasgow, Scotland
Edinburgh, Scotland
Dundee, Scotland
Inverness, Scotland
Reading, UK
Peterborough, UK
Milton Keynes, UK
Exeter, UK
Bath, UK
Ipswich, UK
Northampton, UK
Bournemouth, UK
Preston, UK
Slough, UK
Luton, UK
Watford, UK

# ═══ AUSTRALIA (35 cities) ═══
Sydney, NSW
Melbourne, VIC
Brisbane, QLD
Perth, WA
Adelaide, SA
Gold Coast, QLD
Newcastle, NSW
Canberra, ACT
Sunshine Coast, QLD
Wollongong, NSW
Hobart, TAS
Geelong, VIC
Townsville, QLD
Cairns, QLD
Darwin, NT
Toowoomba, QLD
Ballarat, VIC
Bendigo, VIC
Launceston, TAS
Mackay, QLD
Rockhampton, QLD
Bunbury, WA
Bundaberg, QLD
Coffs Harbour, NSW
Wagga Wagga, NSW
Hervey Bay, QLD
Mildura, VIC
Shepparton, VIC
Gladstone, QLD
Tamworth, NSW
Traralgon, VIC
Orange, NSW
Dubbo, NSW
Geraldton, WA
Albury, NSW

# ═══ NEW ZEALAND (15 cities) ═══
Auckland, New Zealand
Wellington, New Zealand
Christchurch, New Zealand
Hamilton, New Zealand
Tauranga, New Zealand
Dunedin, New Zealand
Palmerston North, New Zealand
Napier, New Zealand
Rotorua, New Zealand
New Plymouth, New Zealand
Whangarei, New Zealand
Nelson, New Zealand
Invercargill, New Zealand
Hastings, New Zealand
Gisborne, New Zealand

# ═══ IRELAND (6 cities) ═══
Dublin, Ireland
Cork, Ireland
Galway, Ireland
Limerick, Ireland
Waterford, Ireland
Belfast, Northern Ireland
