first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,email_source
,,Rental Management Australia,Real Estate Agency,,,,,Wyndham,VIC,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/rental-management-australia-wyndham-aw099/sales/overview,
,,Lj Hooker,Real Estate Agency,info@ljhooker.com.au,,,ljhooker.com.au,Maryborough,QLD,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-maryborough-bb347/sales/overview,pattern-guess
,,Integra Real Estate,Real Estate Agency,info@integrarealestate.com.au,,,integrarealestate.com.au,Ballarat,VIC,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/integra-real-estate-ballarat-bl223/sales/overview,pattern-guess
,,Christian Adam Projects,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/christian-adam-projects-au488/sales/overview,
,,Urbnest Property,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/urbnest-property-bk188/sales/overview,
,,Area Specialist Leigh Smith,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/area-specialist-leigh-smith-bg100/sales/overview,
,,Totally Rentals,Real Estate Agency,info@totallyrentals.com.au,,,totallyrentals.com.au,Gold Coast,QLD,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/totally-rentals-gold-coast-az003/sales/overview,pattern-guess
,,Victorian Brokers,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/victorian-brokers-aw461/sales/overview,
,,Foster Tarrant,Real Estate Agency,info@fostertarrant.com.au,,,fostertarrant.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/foster-tarrant-av914/sales/overview,pattern-guess
,,Nutrien Harcourts Kimba Rla102485,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/nutrien-harcourts-kimba-rla102485-be762/sales/overview,
,,Nu Management,Real Estate Agency,info@numanagement.com.au,,,numanagement.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/nu-management-bd021/sales/overview,pattern-guess
,,Beyond Estate Agents,Real Estate Agency,info@beyondestateagents.com.au,,,beyondestateagents.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/beyond-estate-agents-ax361/sales/overview,pattern-guess
,,Kk Prestige Property,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/kk-prestige-property-ba758/sales/overview,
,,Exp Australia,Real Estate Agency,info@expaustralia.com.au,,,expaustralia.com.au,,TAS,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/exp-australia-tas-bl060/sales/overview,pattern-guess
,,Essence Realty,Real Estate Agency,info@essencerealty.com.au,,,essencerealty.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/essence-realty-bc518/sales/overview,pattern-guess
,,Area Specialist Luke Woodham,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/area-specialist-luke-woodham-bi127/sales/overview,
,,Bridge Co Real Estate,Real Estate Agency,info@bridgerealestate.com.au,,,bridgerealestate.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/bridge-co-real-estate-bf665/sales/overview,pattern-guess
,,Maatouks Property Group,Real Estate Agency,info@maatoukspropertygroup.com.au,,,maatoukspropertygroup.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/maatouks-property-group-bi339/sales/overview,pattern-guess
,,Sonar Property Group,Real Estate Agency,info@sonarproperty.com,,,sonarproperty.com,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/sonar-property-group-au716/sales/overview,pattern-guess
,,Urban Real Estate,Real Estate Agency,info@urbanrealestate.com.au,,,urbanrealestate.com.au,Denham Court,NSW,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/urban-real-estate-denham-court-bk000/sales/overview,pattern-guess
,,Moranbah Property Specialist,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/moranbah-property-specialist-aq457/sales/overview,
,,Quay Property Agents City Sydney Cbd,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/quay-property-agents-city-sydney-cbd-az088/sales/overview,
,,Lj Hooker,Real Estate Agency,info@ljhooker.com.au,,,ljhooker.com.au,Bondi Beach,NSW,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-bondi-beach-bj600/sales/overview,pattern-guess
,,Ks Property Solutions,Real Estate Agency,info@kspropertysolutions.com,,,kspropertysolutions.com,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/ks-property-solutions-au719/sales/overview,pattern-guess
,,Lj Hooker,Real Estate Agency,info@ljhooker.com.au,,,ljhooker.com.au,Dapto,NSW,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/lj-hooker-dapto-au414/sales/overview,pattern-guess
,,Investeps Property,Real Estate Agency,info@investepsproperty.com.au,,,investepsproperty.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/investeps-property-az944/sales/overview,pattern-guess
,,Honey Vinegar Realty,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/honey-vinegar-realty-bc538/sales/overview,
,,Wardle Co Real Estate,Real Estate Agency,info@wardlecorealestate.com.au,,,wardlecorealestate.com.au,Clare,SA,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/wardle-co-real-estate-clare-bj543/sales/overview,pattern-guess
,,Blink Property,Real Estate Agency,info@blinkproperty.com.au,,,blinkproperty.com.au,,NSW,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/blink-property-nsw-az454/sales/overview,pattern-guess
,,Spg Real Estate,Real Estate Agency,info@spgrealestate.com.au,,,spgrealestate.com.au,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/spg-real-estate-bc839/sales/overview,pattern-guess
,,Harcourts Legacy,Real Estate Agency,,,,,,,AU,real estate agent,ratemyagent,https://www.ratemyagent.com.au/real-estate-agency/harcourts-legacy-bl184/sales/overview,
