first_name,last_name,firm_name,practice_area,city,state,phone,website,email,bar_number,admission_date,bar_status,source,profile_url,title,linkedin_url,bio,education,languages,practice_specialties,email_source,phone_source,website_source
Camelback,Toyota,Camelback Toyota,,Phoenix,AZ,+1 602-464-7261,https://www.camelbacktoyota.com/?utm_source=google&utm_medium=listing&utm_campaign=google-my-business,sales@camelbacktoyota.com,,,,google-maps_bar,https://www.google.com/maps/place/Camelback+Toyota/data=!4m7!3m6!1s0x872b129fd2331d75:0xf5a4c35a3dd56eac!8m2!3d33.510551!4d-112.04837!16s%2Fg%2F1wnbygyg!19sChIJdR0z0p8SK4cRrG7VPVrDpPU?authuser=0&hl=en&rclk=1,Owner,,,,,,website,,
Showcase,Honda,Showcase Honda,,Phoenix,AZ,+1 602-464-7145,https://www.showcasehonda.com/?utm_source=google&utm_medium=listing&utm_campaign=google-my-business,contact@showcasehonda.com,,,,google-maps_bar,https://www.google.com/maps/place/Showcase+Honda/data=!4m7!3m6!1s0x872b129eda5cbef9:0x713e1b1381be41f6!8m2!3d33.508364!4d-112.052388!16s%2Fg%2F1w112nfg!19sChIJ-b5c2p4SK4cR9kG-gRMbPnE?authuser=0&hl=en&rclk=1,Owner,,,,,,website,,
,,Martin's Auto Repair,,Phoenix,AZ,+1 602-266-5755,http://www.martinsautorepair.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Martin%27s+Auto+Repair/data=!4m7!3m6!1s0x872b127f8083475b:0x3ff9a5c0be583fac!8m2!3d33.4904328!4d-112.0479112!16s%2Fg%2F1tf5f681!19sChIJW0eDgH8SK4cRrD9YvsCl-T8?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Gemba Automotive Repair,,Phoenix,AZ,+1 602-275-2187,https://www.gembaautomotive.com/auto-repair-shop-phoenix-az,,,,,google-maps_bar,https://www.google.com/maps/place/Gemba+Automotive+Repair/data=!4m7!3m6!1s0x872b0dda97c34727:0xe65865a15d9e3d6f!8m2!3d33.464457!4d-112.012645!16s%2Fg%2F1vj5_p00!19sChIJJ0fDl9oNK4cRbz2eXaFlWOY?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Alexanders Auto Repair,,Phoenix,AZ,+1 602-956-3781,https://www.alexandersautorepair.com/,info@alexandersautorepair.com,,,,google-maps_bar,https://www.google.com/maps/place/Alexanders+Auto+Repair/data=!4m7!3m6!1s0x872b0db7157dc929:0xb700229fb9fd438c!8m2!3d33.4809557!4d-112.0101948!16s%2Fg%2F1q5bs1dd9!19sChIJKcl9FbcNK4cRjEP9uZ8iALc?authuser=0&hl=en&rclk=1,,,,,,,website,,
,,3A Automotive & Diesel,,Phoenix,AZ,+1 602-704-5658,https://www.3aautorepair.com/,,,,,google-maps_bar,https://www.google.com/maps/place/3A+Automotive+%26+Diesel/data=!4m7!3m6!1s0x872b6dab02ebc479:0xc024d64daf77e206!8m2!3d33.57087!4d-112.0930802!16s%2Fg%2F1tfcz8mw!19sChIJecTrAqttK4cRBuJ3r03WJMA?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Bashar Auto Mechanics & Body Shop,,Phoenix,AZ,+1 602-299-8560,https://autobodyshop-az.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Bashar+Auto+Mechanics+%26+Body+Shop/data=!4m7!3m6!1s0x872b6d8e4fcd592b:0xfc84dda13bc087d3!8m2!3d33.5296138!4d-112.1179182!16s%2Fg%2F11rtt0bkry!19sChIJK1nNT45tK4cR04fAO6HdhPw?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Bridwell Automotive Center,,Scottsdale,AZ,+1 480-903-7689,https://www.bridwellautocenter.com/?utm_campaign=gmb,,,,,google-maps_bar,https://www.google.com/maps/place/Bridwell+Automotive+Center/data=!4m7!3m6!1s0x872b0b14bc05ef21:0x596f3ad2c80a0a80!8m2!3d33.5309773!4d-111.9268664!16s%2Fg%2F1thq5rr7!19sChIJIe8FvBQLK4cRgAoKyNI6b1k?authuser=0&hl=en&rclk=1,,,,,,,,,
,,J’s mobile auto repair,,Phoenix,AZ,+1 480-322-4012,,,,,,google-maps_bar,https://www.google.com/maps/place/J%E2%80%99s+mobile+auto+repair/data=!4m7!3m6!1s0x872b6dbd4b678feb:0xa5d3faed04215811!8m2!3d33.5732419!4d-112.0861961!16s%2Fg%2F11wg6zz2wx!19sChIJ649nS71tK4cREVghBO3606U?authuser=0&hl=en&rclk=1,,,,,,,,,
,,AZ Auto Repair and Body,,Phoenix,AZ,+1 602-653-6369,https://azautorepairandbody.com/,,,,,google-maps_bar,https://www.google.com/maps/place/AZ+Auto+Repair+and+Body/data=!4m7!3m6!1s0x872b138cc2630a4b:0xb5b6b4e28a336b7c!8m2!3d33.4517627!4d-112.123667!16s%2Fg%2F11hfkpsfl6!19sChIJSwpjwowTK4cRfGsziuK0trU?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Scott's Automotive & Tire of Phoenix,,Phoenix,AZ,+1 602-731-2245,https://scottsauto.com/locations/phoenix/,,,,,google-maps_bar,https://www.google.com/maps/place/Scott%27s+Automotive+%26+Tire+of+Phoenix/data=!4m7!3m6!1s0x872b1366b764f7c1:0x3094be94484b6a75!8m2!3d33.512153!4d-112.065318!16s%2Fg%2F11qgcyjnkm!19sChIJwfdkt2YTK4cRdWpLSJS-lDA?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Perez Auto Repair,,Phoenix,AZ,+1 602-269-3576,https://perezautorepairs.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Perez+Auto+Repair/data=!4m7!3m6!1s0x872b13fa7e745acd:0xe2b97aa2f30b497d!8m2!3d33.4429333!4d-112.1341123!16s%2Fg%2F1tf7h3xb!19sChIJzVp0fvoTK4cRfUkL86J6ueI?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Toydoc Auto,,Phoenix,AZ,+1 602-321-3990,http://www.toydocauto.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Toydoc+Auto/data=!4m7!3m6!1s0x872b0f6b8fcbe989:0xa43d41918199ed99!8m2!3d33.4516504!4d-112.0357839!16s%2Fg%2F11rjjhlzrz!19sChIJienLj2sPK4cRme2ZgZFBPaQ?authuser=0&hl=en&rclk=1,,,,,,,,,
