first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,rating,attorneys
,,MacLean Law Group,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/maclean-law-group-4048895-f/,4.1,
,,Barbeau Evans LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/barbeau-evans-and-goldstein-1299978-f/,,
,,Watson Goepel LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/watson-goepel-llp-1303961-f/,1.9,
,,DLA Piper (Canada) LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/dla-piper-canada-llp-1300849-f/,3.5,
,,Des Friedland,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/des-friedland-4016304-f/,,
,,Alexander Holburn Beaudin + Lang LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/alexander-holburn-beaudin-lang-llp-1299736-f/,1.0,
,,Law Office of Barbara Findlay,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/law-office-of-barbara-findlay-3984950-f/,,
,,McCarthy Tétrault LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/mccarthy-tetrault-llp-1303700-f/,4.7,
,,Chen & Leung,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/chen-and-leung-4028316-f/,,
,,Elizabeth D. Chow Bryson Immigration Lawyer,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/elizabeth-d-chow-bryson-immigration-lawyer-3477823-f/,5.0,
,,Funt & Company Litigation Counsel,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/funt-and-company-litigation-counsel-157961223-f/,5.0,
,,Filkow Law,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/filkow-law-158317095-f/,5.0,
,,Singleton Reynolds Urquhart Vogel LLP,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/singleton-reynolds-urquhart-vogel-llp-1303839-f/,1.0,
,,Alexander Atkinson Law Office,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/alexander-atkinson-law-office-2119301-f/,,
,,Kerstin Hewel,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/kerstin-hewel-3174811-f/,,
,,SageWise Counsel,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/sagewise-counsel-157566351-f/,,
,,Owen Bird Law Corporation,Immigration Law Firm,,,http://www.owenbird.com,owenbird.com,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/owen-bird-law-corporation-1303104-f/,4.3,
,,Embarkation Law Corporation,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/embarkation-law-group-4007953-f/,,
,,"Burns, Fitzpatrick, Rogers & Schwartz",Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/burns-fitzpatrick-rogers-and-schwartz-1301605-f/,5.0,
,,Kay M. Vinall Law Corporation,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/kay-m-vinall-law-corporation-300013573-f/,,
,,Larlee Rosenberg,Immigration Law Firm,,,,,Vancouver,CA-BC,CA,immigration,lawyers_com,https://www.lawyers.com/canada/vancouver/british-columbia/larlee-rosenberg-2046596-f/,,
