first_name,last_name,firm_name,practice_area,city,state,phone,website,email,bar_number,admission_date,bar_status,source,profile_url,title,linkedin_url,bio,education,languages,practice_specialties,email_source,phone_source,website_source
Level,Chiropractic,Level Chiropractic,,Denver,CO,+1 720-662-7577,https://www.levelchiro.com/,level.chiropractic@levelchiro.com,,,,google-maps_bar,https://www.google.com/maps/place/Level+Chiropractic/data=!4m7!3m6!1s0x876c8801a7a1503b:0x4bb42aa2b14c86ac!8m2!3d39.7344471!4d-104.9353209!16s%2Fg%2F11g7z866fw!19sChIJO1ChpwGIbIcRrIZMsaIqtEs?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/level-chiropractic,,,,,pattern,,
The,Chiropractic,The Joint Chiropractic,,Denver,CO,+1 303-952-8385,https://www.thejoint.com/colorado/denver/downtown-denver-at-market-station-38037,the.chiropractic@thejoint.com,,,,google-maps_bar,https://www.google.com/maps/place/The+Joint+Chiropractic/data=!4m7!3m6!1s0x876c79ddc6ba69a3:0x98fa058ea0cd1378!8m2!3d39.7502175!4d-104.9980977!16s%2Fg%2F11j_1jpwtq!19sChIJo2m6xt15bIcReBPNoI4F-pg?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/the-chiropractic,,,,,pattern,,
Chiropractor,Denver,Chiropractor Downtown Denver,,Denver,CO,+1 303-573-0984,http://chiropractordowntowndenver.com/,chiropractor.denver@chiropractordowntowndenver.com,,,,google-maps_bar,https://www.google.com/maps/place/Chiropractor+Downtown+Denver/data=!4m7!3m6!1s0x876c78d07d4fae63:0x847a1d4b0bcccecd!8m2!3d39.7467072!4d-104.9944363!16s%2Fg%2F11bvtdnh1y!19sChIJY65PfdB4bIcRzc7MC0sdeoQ?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/chiropractor-denver,,,,,pattern,,
Denver,Recovery,Denver Sports Recovery,,Denver,CO,+1 303-718-3435,https://denversportsrecovery.com/,denver.recovery@denversportsrecovery.com,,,,google-maps_bar,https://www.google.com/maps/place/Denver+Sports+Recovery/data=!4m7!3m6!1s0x876c7894231f0c6b:0x25eae7438d58bfdf!8m2!3d39.7581883!4d-105.0140806!16s%2Fg%2F11cmv1wqsr!19sChIJawwfI5R4bIcR379YjUPn6iU?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/denver-recovery,,,,,pattern,,
Alpha,Chiropractic,Alpha Back Chiropractic,,Denver,CO,+1 303-963-9618,http://www.alphabackchiro.com/,alpha.chiropractic@alphabackchiro.com,,,,google-maps_bar,https://www.google.com/maps/place/Alpha+Back+Chiropractic/data=!4m7!3m6!1s0x876c793596291f7d:0xf2ba840da0820e36!8m2!3d39.7342678!4d-104.9815817!16s%2Fg%2F11b6g86wmn!19sChIJfR8pljV5bIcRNg6CoA2EuvI?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/alpha-chiropractic,,,,,pattern,,
Washington,Chiropractic,Washington Park Chiropractic,,Denver,CO,+1 303-744-7100,https://www.washparkchiro.com/,washington.chiropractic@washparkchiro.com,,,,google-maps_bar,https://www.google.com/maps/place/Washington+Park+Chiropractic/data=!4m7!3m6!1s0x876c7e516c99516f:0xab48baa92d883e07!8m2!3d39.6923499!4d-104.9785458!16s%2Fg%2F1tp27s4w!19sChIJb1GZbFF-bIcRBz6ILam6SKs?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/washington-chiropractic,,,,,pattern,,
Schwabe,Chiropractic,Schwabe Chiropractic,,Denver,CO,+1 720-432-9157,http://www.schwabechiropractic.com/,schwabe.chiropractic@schwabechiropractic.com,,,,google-maps_bar,https://www.google.com/maps/place/Schwabe+Chiropractic/data=!4m7!3m6!1s0x876c7e4c08f8cb17:0xc61d68770a32614!8m2!3d39.6787544!4d-104.9795585!16s%2Fg%2F1232kl7rp!19sChIJF8v4CEx-bIcRFCajcIfWYQw?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/schwabe-chiropractic,,,,,pattern,,
Evolve,Chiropractic,Evolve Chiropractic,,Denver,CO,+1 720-334-7819,http://evolvechiropracticdenver.com/,evolve.chiropractic@evolvechiropracticdenver.com,,,,google-maps_bar,https://www.google.com/maps/place/Evolve+Chiropractic/data=!4m7!3m6!1s0x876c7fee04f8b523:0xe7c7dd2470ab62cf!8m2!3d39.730303!4d-104.977889!16s%2Fg%2F11p64gkrj6!19sChIJI7X4BO5_bIcRz2KrcCTdx-c?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/evolve-chiropractic,,,,,pattern,,
Care,Chiropractic,Care Chiropractic,,Denver,CO,+1 303-394-2273,https://www.carechiropractic.com/?utm_source=google&utm_medium=local&utm_campaign=gmb_listing,care.chiropractic@carechiropractic.com,,,,google-maps_bar,https://www.google.com/maps/place/Care+Chiropractic/data=!4m7!3m6!1s0x876c7c0d3811bd95:0x50ba7de0e25558a!8m2!3d39.7388244!4d-104.9163397!16s%2Fg%2F1tykvwm_!19sChIJlb0ROA18bIcRilUlDt6nCwU?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/care-chiropractic,,,,,pattern,,
Scott,Levine,Dr. Scott Levine,,Denver,CO,(416) 487-9056,http://drscottlevine.ca/,scott.levine@drscottlevine.ca,,,,google-maps_bar,https://www.google.com/maps/place/Dr.+Scott+Levine/data=!4m7!3m6!1s0x882b3344e771ae77:0xf1aba05986aa4362!8m2!3d43.7090751!4d-79.3928229!16s%2Fg%2F11b5wmb3kc!19sChIJd65x50QzK4gRYkOqhlmgq_E?authuser=0&hl=en&rclk=1,Owner,https://www.linkedin.com/in/scott-levine,,,,,pattern,,
