first_name,last_name,firm_name,practice_area,city,state,phone,website,email,bar_number,admission_date,bar_status,source,profile_url,title,linkedin_url,bio,education,languages,practice_specialties,email_source,phone_source,website_source
,,"THE BEST 10 DENTISTS in MIAMI, FL",,,,,https://www.yelp.com/search?cflt=dentists&find_loc=Miami%2C+FL,,,,,ddg_yelp,,Dentist,,,,,,,,
,,"Best Dentists Near Me in Miami, FL | WebMD",,,,,https://doctor.webmd.com/providers/specialty/dentistry/florida/miami,,,,,ddg_organic,,Dentist,,,,,,,,
,,"20 Best Dentists Near Miami, FL - Healthgrades",,,,,https://www.healthgrades.com/dentistry-general-directory/fl-florida/miami,,,,,ddg_healthgrades,,Dentist,,,,,,,,
,,"10 Best Miami, FL Dentists | Expertise.com",,,,,https://www.expertise.com/health-wellness/dentists/florida/miami,,,,,ddg_organic,,Dentist,,,,,,,,
,,"20 Best Dentists Near Me in Miami, FL | Opencare.com",,,,,https://www.opencare.com/dentists/miami-fl/,,,,,ddg_organic,,Dentist,,,,,Cosmetic Dentistry,,,
,,"Top 68 Dentists near Miami, FL| Vitals",,,,,https://www.vitals.com/dentistry/fl/miami,,,,,ddg_organic,,Dentist,,,,,,,,
,,Dentist Miami | The Best Dentists in Miami Florida,,,,,https://www.dentistsranked.com/dentists/Miami-FL,,,,,ddg_organic,,Dentist,,,,,,,,
,,"Best Dentists Near Me in Miami, FL | Zocdoc",,,,,https://www.zocdoc.com/dentists/miami-218306pm,,,,,ddg_zocdoc,,Dentist,,,,,,,,
,,"3 Best Dentists in Miami, FL - Expert Recommendations",,,,,https://threebestrated.com/local-dentists-in-miami-fl,,,,,ddg_organic,,Dentist,,,,,,,,
,,"10 Best Dentists in Miami, Florida - TopRatedDentist.com",,,,,https://www.toprateddentist.com/dentists/miami-fl/,,,,,ddg_organic,,Dentist,,,,,,,,
