first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,address,fax,principal_agent,qeac_numbers,counselor_count
,,Maxima International Pty Ltd,,,,,,Melbourne,VIC,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/982,"Ground Floor 262 Queen St, Melbourne, VIC, 3000, Australia",,,,
,,i20fever,,,,,,Visakhapatnam,Andhra Pradesh,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/1110,"5 Floor ISNAR PLAZA, Dwarakanagar Main Road, Opposite ICICI Bank, Visakhapatnam, Visakhapatnam, Andhra Pradesh, 530016, India",,,,
,,Esperanto Travel,,,,,,Kyiv,Kyyiv,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7486,"Off. 25, 45 B Vorovskogo Str., Kyiv, Kyyiv, 01054, Ukraine",,,,
,,SKC Educational Consulting,,,,,,New York City,NY,United States of America,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7622,"101 Fifth Ave. Suite 10 A, New York City, NY, 10003, United States of America",,,,
,,EAC Skopje,,,,,,Skopje,Skopje,North Macedonia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7854,"Orce Nikolov 99, Skopje, Skopje, 1000, North Macedonia",,,,
,,Global-Esl Peru,,,,,,Lima,Lima,Peru,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8018,"Malecon De La Reserva 775 Suite 1602 Miraflores 18, Lima Peru, Lima, Lima, 18, Peru",,,,
,,Gamja Uhak,,,,,,Seocho Gu,Seoul,South Korea,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8019,"1317 3 2 F B/D Seocho Dong, Seocho Gu, Seoul, 137-856, South Korea",,,,
,,BelStudy International,,,,,,Minsk,Minskaja Woblasz,Belarus,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8030,"Komsomolskaya 11/7, office 207, Minsk, Minskaja Woblasz, 220030, Belarus",,,,
,,Neo Academia,,,,,,Beirut,Beirut,Lebanon,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8081,"Ain El Tineh, Street 59, Khouzama Building, 10th Floor Ras Beirut, Beirut, Beirut, 00000, Lebanon",,,,
,,EDU-T.RU,,,,,,Moscow,Moskva,Russia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8142,"37 Mozhayskoye shosse, Moscow, Moskva, 121471, Russia",,,,
