=== HTTP Website Email Crawler ===
Input:       output/eoir-with-domains.csv
Output:      output/eoir-crawled.csv
Concurrency: 12
Paths:       / /contact /contact-us /about /about-us
Rows: 5217 of 5217
  [0.5%] 25/5217, emails=2, 10.0/s, ETA 519s
  [1.0%] 50/5217, emails=6, 8.9/s, ETA 581s
  [1.4%] 75/5217, emails=12, 8.1/s, ETA 635s
  [1.9%] 100/5217, emails=15, 8.2/s, ETA 624s
  [2.4%] 125/5217, emails=19, 6.0/s, ETA 849s
  [2.9%] 150/5217, emails=29, 5.1/s, ETA 994s
  [3.4%] 175/5217, emails=35, 3.1/s, ETA 1626s
  [3.8%] 200/5217, emails=36, 3.3/s, ETA 1520s
  [4.3%] 225/5217, emails=39, 3.5/s, ETA 1426s
  [4.8%] 250/5217, emails=41, 3.7/s, ETA 1342s
  [5.3%] 275/5217, emails=45, 3.8/s, ETA 1301s
  [5.8%] 300/5217, emails=47, 4.0/s, ETA 1229s
  [6.2%] 325/5217, emails=53, 4.2/s, ETA 1165s
  [6.7%] 350/5217, emails=56, 4.2/s, ETA 1159s
  [7.2%] 375/5217, emails=60, 4.3/s, ETA 1126s
  [7.7%] 400/5217, emails=69, 4.3/s, ETA 1120s
  [8.1%] 425/5217, emails=72, 4.0/s, ETA 1198s
  [8.6%] 450/5217, emails=78, 4.1/s, ETA 1163s
  [9.1%] 475/5217, emails=83, 4.1/s, ETA 1157s
  [9.6%] 500/5217, emails=89, 3.9/s, ETA 1209s
  [10.1%] 525/5217, emails=93, 3.9/s, ETA 1203s
  [10.5%] 550/5217, emails=96, 3.9/s, ETA 1197s
  [11.0%] 575/5217, emails=103, 3.8/s, ETA 1222s
  [11.5%] 600/5217, emails=106, 3.8/s, ETA 1215s
  [12.0%] 625/5217, emails=110, 3.8/s, ETA 1208s
  [12.5%] 650/5217, emails=115, 3.7/s, ETA 1234s
  [12.9%] 675/5217, emails=121, 3.6/s, ETA 1262s
  [13.4%] 700/5217, emails=124, 3.5/s, ETA 1291s
  [13.9%] 725/5217, emails=129, 3.4/s, ETA 1321s
  [14.4%] 750/5217, emails=132, 3.4/s, ETA 1314s
  [14.9%] 775/5217, emails=135, 3.5/s, ETA 1269s
  [15.3%] 800/5217, emails=140, 3.5/s, ETA 1262s
  [15.8%] 825/5217, emails=144, 3.4/s, ETA 1292s
  [16.3%] 850/5217, emails=147, 3.4/s, ETA 1284s
  [16.8%] 875/5217, emails=152, 3.4/s, ETA 1277s
  [17.3%] 900/5217, emails=156, 3.4/s, ETA 1270s
  [17.7%] 925/5217, emails=159, 3.4/s, ETA 1262s
  [18.2%] 950/5217, emails=166, 3.4/s, ETA 1255s
  [18.7%] 975/5217, emails=168, 3.4/s, ETA 1248s
  [19.2%] 1000/5217, emails=171, 3.3/s, ETA 1278s
  [19.6%] 1025/5217, emails=174, 3.2/s, ETA 1310s
  [20.1%] 1050/5217, emails=178, 3.2/s, ETA 1302s
  [20.6%] 1075/5217, emails=183, 3.2/s, ETA 1294s
  [21.1%] 1100/5217, emails=192, 3.3/s, ETA 1248s
