first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,rating,review_count,niche,source,profile_url
,,Lawfully,,help@lawfully.com,,https://www.lawfully.com,lawfully.com,New York City,,US,4.9,4648,immigration,trustpilot,https://www.trustpilot.com/review/lawfully.com
,,Boundless Immigration,,help@boundless.com,(855) 268-6353,https://www.boundless.com,boundless.com,Seattle,,US,4.8,4849,immigration,trustpilot,https://www.trustpilot.com/review/boundless.com
,,Consumer Law Group,,info@consumerlaw.com,(312) 620-7777,https://www.consumerlaw.com,consumerlaw.com,Chicago,,US,4.8,156,immigration,trustpilot,https://www.trustpilot.com/review/www.consumerlaw.com
,,Marble Law,,hello@themarbleway.com,(800) 297-1008,https://www.marble.co/,marble.co,San Diego,,US,4.2,4448,immigration,trustpilot,https://www.trustpilot.com/review/marble.co
,,BYDcash,,info@bydcash.com,(786) 408-3838,https://bydcash.com,bydcash.com,Ponte Vedra,,US,4.9,255,immigration,trustpilot,https://www.trustpilot.com/review/bydcash.com
Asel,Williams,"Asel Williams, Esq.",,support@self-lawyer.com,(888) 922-6632,https://self-lawyer.com,self-lawyer.com,New York City,,US,4.9,92,immigration,trustpilot,https://www.trustpilot.com/review/self-lawyer.com
,,Tukki,,info@tukki.ai,,https://tukki.ai,tukki.ai,,,US,4.7,23,immigration,trustpilot,https://www.trustpilot.com/review/tukki.ai
,,"GoVisa Lawyer (Pemberton Law, PLLC)",,support@govisalawyer.com,,https://govisalawyer.com,govisalawyer.com,Logan,,US,4.5,175,immigration,trustpilot,https://www.trustpilot.com/review/govisalawyer.com
,,Alcock & Associates,,,(602) 989-5000,https://www.alcocklaw.com/,alcocklaw.com,Phoenix,,US,4.5,20,immigration,trustpilot,https://www.trustpilot.com/review/alcocklaw.com
,,"Davies & Associates, LLC",,midavies@usimmigrationadvisor.com,(860) 830-5665,https://usimmigrationadvisor.com,usimmigrationadvisor.com,New York,,US,4.5,16,immigration,trustpilot,https://www.trustpilot.com/review/usimmigrationadvisor.com
,,Our Love Visa,,hello@ourlovevisa.com,,http://ourlovevisa.com,ourlovevisa.com,New York,,US,4.5,15,immigration,trustpilot,https://www.trustpilot.com/review/ourlovevisa.com
,,Colindalelaw,,,,https://colindalelaw.co.uk,colindalelaw.co.uk,,,,4.5,14,immigration,trustpilot,https://www.trustpilot.com/review/colindalelaw.co.uk
Global,Ext,Global Expat,,mo@globalexpat.net,(302) 468-6340,https://globalexpat.net,globalexpat.net,Wilmington,,US,4.5,13,immigration,trustpilot,https://www.trustpilot.com/review/globalexpat.net
,,Reelo,,hello@reelo.me,,https://reelo.me,reelo.me,,,US,4.4,78,immigration,trustpilot,https://www.trustpilot.com/review/reelo.me
,,Alphamigrationdubai,,askalphamigration@gmail.com,56 279 8656,http://alphamigrationdubai.com,alphamigrationdubai.com,Dubai,,US,4.4,10,immigration,trustpilot,https://www.trustpilot.com/review/alphamigrationdubai.com
,,Cita Previa Bot,,suuport@citapreviabot.com,,https://citapreviabot.com,citapreviabot.com,Covina,,US,4.3,11,immigration,trustpilot,https://www.trustpilot.com/review/citapreviabot.com
,,Dotcomsolicitors,,,,http://www.dotcomsolicitors.com,dotcomsolicitors.com,,,,4.3,10,immigration,trustpilot,https://www.trustpilot.com/review/www.dotcomsolicitors.com
,,"Subhan Law Office, LLC",,info@subhanlaw.com,(414) 223-5718,https://subhanlaw.com,subhanlaw.com,Milwaukee,,US,4.3,9,immigration,trustpilot,https://www.trustpilot.com/review/subhanlaw.com
,,VisaPro.com,,,,https://visapro.com,visapro.com,,,,4.3,9,immigration,trustpilot,https://www.trustpilot.com/review/visapro.com
,,Justiceimmigration,,,,http://justiceimmigration.org,justiceimmigration.org,,,,4.3,9,immigration,trustpilot,https://www.trustpilot.com/review/justiceimmigration.org
Federal,Apostille,Federal Apostille,,,,https://federalapostille.com,federalapostille.com,,,US,4.1,5,immigration,trustpilot,https://www.trustpilot.com/review/federalapostille.com
Visa,Govassist,Visa Govassist,,,,https://visa.govassist.com,visa.govassist.com,,,US,,,immigration,trustpilot,https://www.trustpilot.com/review/visa.govassist.com
,,LegalPro+ Team,,admin@legalproteam.com,(727) 755-3425,https://legalproteam.com,legalproteam.com,Miami Beach,,US,4.3,8,immigration,trustpilot,https://www.trustpilot.com/review/legalproteam.com
,,Wasden Immigration Litigation,,support@wasden.law,(844) 592-7336,https://wasden.law,wasden.law,,,US,4,4,immigration,trustpilot,https://www.trustpilot.com/review/wasden.law
,,Indiansabroad,,admission@indiansabroad.in,(913) 708-9087,https://indiansabroad.in,indiansabroad.in,navi mumbai,,IN,4.1,8,immigration,trustpilot,https://www.trustpilot.com/review/indiansabroad.in
,,Relocationcompass,,,+386071685170,https://relocationcompass.com,relocationcompass.com,Celje,,SI,3.8,2,immigration,trustpilot,https://www.trustpilot.com/review/relocationcompass.com
Capitol,Lawrtners,Capitol Law Partners,,info@capitollawpartners.com,(202) 440-2272,https://capitollawpartners.com,capitollawpartners.com,Herndon,,US,4.1,5,immigration,trustpilot,https://www.trustpilot.com/review/capitollawpartners.com
,,WeParaguay,,info@weparaguay.com,+595992023510,https://weparaguay.com,weparaguay.com,Asunción,,PY,4.4,10,immigration,trustpilot,https://www.trustpilot.com/review/weparaguay.com
,,Relohelper,,relohelper@gmail.com,,https://relohelper.com,relohelper.com,,,ES,3.7,1,immigration,trustpilot,https://www.trustpilot.com/review/relohelper.com
,,"Vasquez, Asker & Rojas Law Group, PLLC",,legalteam@varimmigrationlaw.com,(844) 272-5295,https://varimmigrationlaw.com,varimmigrationlaw.com,Hurst,,US,3.7,1,immigration,trustpilot,https://www.trustpilot.com/review/varimmigrationlaw.com
,,Kremenchuker Law Group,,leo@99legal.com,(239) 995-3425,https://99legal.com,99legal.com,Fort Myers,,US,4.2,6,immigration,trustpilot,https://www.trustpilot.com/review/99legal.com
,,Global Expat Support,,,,https://globalexpatsupport.com,globalexpatsupport.com,,,US,4.3,8,immigration,trustpilot,https://www.trustpilot.com/review/globalexpatsupport.com
Reiss,Edwards,Reiss Edwards,,,,https://immigrationlawyers-london.com,immigrationlawyers-london.com,,,,4,24,immigration,trustpilot,https://www.trustpilot.com/review/immigrationlawyers-london.com
,,Adriacom,,,,http://adriacom.me,adriacom.me,,,,4,4,immigration,trustpilot,https://www.trustpilot.com/review/adriacom.me
,,Cklawfirm,,,,http://cklawfirm.org,cklawfirm.org,,,US,4,3,immigration,trustpilot,https://www.trustpilot.com/review/cklawfirm.org
Adam,Bernard,Adam Bernard Attorneys,,info@adambernards.com,(346) 355-6111,http://adambernards.com,adambernards.com,Houston,,US,4,3,immigration,trustpilot,https://www.trustpilot.com/review/adambernards.com
,,Citizenshipselfie,,,,http://citizenshipselfie.com,citizenshipselfie.com,,,US,4,3,immigration,trustpilot,https://www.trustpilot.com/review/citizenshipselfie.com
,,Greeneufuture,,,,https://greeneufuture.com,greeneufuture.com,,,,3.9,3,immigration,trustpilot,https://www.trustpilot.com/review/greeneufuture.com
,,Selamtaimmigration,,,,http://selamtaimmigration.com,selamtaimmigration.com,,,US,3.8,2,immigration,trustpilot,https://www.trustpilot.com/review/selamtaimmigration.com
,,EB1AVisa.com,,hello@eb1avisa.com,(224) 354-1827,https://eb1avisa.com,eb1avisa.com,Chicago,,US,3.8,2,immigration,trustpilot,https://www.trustpilot.com/review/eb1avisa.com
,,Wellingsandwilliams,,,,http://www.wellingsandwilliams.com,wellingsandwilliams.com,,,,3.8,2,immigration,trustpilot,https://www.trustpilot.com/review/www.wellingsandwilliams.com
,,Allied Legal PC ,,support@alliedlegal.us,(510) 600-3083,http://www.alliedlegal.us,alliedlegal.us,Milpitas,,US,3.8,2,immigration,trustpilot,https://www.trustpilot.com/review/www.alliedlegal.us
