first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,licence_number,licence_type
Aabhas,Sharma,VisaSeasons Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202401463,202401463,
Aarati,Giri,White Cloud Immigration and Education Services Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202000510,202000510,
Aarti,Joshika Mudaliar,StudyPlus Consultants Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201401101,201401101,
Abhinav,Goyal,McKkr's Pty Ltd,,,,,,Sydney,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202504962,202504962,
Abiola,Foluso Bamidele,Emmadore Migration and Education Consultancy,,,,,,Palmerston,Northern Territory,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202400340,202400340,
Abishek,Murthy,Immigration Consultancies Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201201192,201201192,
Adam,Marshall Levbarg,New Zealand Immigration Partners,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202401300,202401300,
Adam,Robert Moore,,,,,,,Queenstown,Otago,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300402,202300402,
Adelle,Miriama Curtis,Te Whatu Ora | Health New Zealand,,,,,,,,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201002445,201002445,
Aditya,Bhati,AB'S VISA ADVISORS PRIVATE LIMITED,,,,,,CHANDIGARH,CHANDIGARH (UNION TERRITORY),IN,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300394,202300394,
Adriana,Lorena Barrera Gutierrez,VisaLegal Limited,,,,,,Morrinsville,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200338,202200338,
Afiff,Shah,New Zealand Visa Solutions Ltd,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700911,201700911,
Agustinus,Agustinus,Agustinus Agustinus,,,,,,Jakarta,Jakarta Utara,ID,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201501783,201501783,
Ahaynna,Rodrigues Carsten,Ahaynna Carsten,,,,,,Omokoroa,Bay of Plenty,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202300550,202300550,
Akihiro,Yamasaki,NZ VISA PARTNER LIMITED,,,,,,Timaru,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201701307,201701307,
Alain,Thorvald Koetsier,Novo Education Consulting Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900930,201900930,
Alan,Dyer,AD Immigration Services,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201100088,201100088,
Alastair,James McKay,Lander International Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202100375,202100375,
Alberto,Matias Torres,Complete Visas,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201900769,201900769,
Aleksandar,Jovanovic,Global Immigration Services NZ,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201601456,201601456,
Alex,Nejati,Caren Immigration,,,,,,Melbourne,Victoria,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202401291,202401291,
Alex,Yun Zhang,CHANCE IMMIGRATION AND EDUCATION,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201001026,201001026,
Alexander,Roger Speckmann-McCulloch,Ernst & Young,,,,,,Sydney,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201800079,201800079,
Ali,Ayaz,Our Visa Manager,,,,,,Rawalpindi,Punjab,PK,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201600209,201600209,
Ali,Sarbandi,Visa2NZ Limited,,,,,,Auckland,Auckland,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201500826,201500826,
Ali,Shahami,R&K Immigration Group,,,,,,CROWS NEST,New South Wales,AU,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201700124,201700124,
Alicia,Jayne Gainsford,Leading HR and Immigration NZ Ltd,,,,,,Christchurch,Canterbury,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202000851,202000851,
Alicia,Pabellon,ASP Immigration Services Limited,,,,,,Palmerston North,Manawatū-Whanganui,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201200991,201200991,
Aliesha,Shukla Singh,Kiwi Fern Immigration Services,,,,,,Upper Hutt,Wellington,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/202200172,202200172,
Allan,Robert Crome,New Zealand Shores,,,,,,Hamilton,Waikato,NZ,Immigration Advisory,nz-iaa,https://app.mbieregisters.govt.nz/iaa/ext/adviser/view/201201097,201201097,
