first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,registration_number,license_valid_from,license_valid_to,specializations,address
,,101 MOJO INT'L. CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7775/101-mojo-intl-corporation,DMW-019-LB-10132023-UL,"Oct 04, 2025","Oct 03, 2031",,
,,1015 BRILLIANT MINDS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8349/1015-brilliant-minds-inc,DMW-031-LB-08082025-PL,"Aug 08, 2025","Aug 07, 2028",,
,,1ST DYNAMIC PERSONNEL RESOURCES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://1stdynamic.workabroad.ph/profile/agency/6568/1stdynamic,DMW-011-LB-051822-R,"Jun 10, 2022","Apr 08, 2026",,
,,"1ST NORTHERN INTERNATIONAL PLACEMENT, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://1stnorthern.workabroad.ph/profile/agency/3241/1stnorthern,POEA-087-LB-122321-R,"Dec 30, 2021","Dec 29, 2031",,
,,2018 CROWNE HUMAN RESOURCES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://2018crowne.workabroad.ph/profile/agency/7460/2018crowne,POEA-005-LB-020619-PL,"Jul 21, 2023","Jan 30, 2027",,
,,21ST CENTURY MANPOWER RESOURCES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://21stcentury.workabroad.ph/profile/agency/1014/21stcentury,DMW-324-LB-04112024-R,"May 08, 2024","May 07, 2030",,
,,2TG MANPOWER INTERNATIONAL CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://2tgmanpower.workabroad.ph/profile/agency/1520/2tgmanpower,POEA-216-LB-112919-R,"Dec 13, 2023","Dec 23, 2029",,
,,"7107 ISLANDS PLACEMENT & PROMOTIONS, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://7107islands.workabroad.ph/profile/agency/841/7107islands,DMW-024-LB-03072023-R,"Dec 10, 2022","Dec 09, 2026",,
,,9K INTERNATIONAL MANPOWER SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://9kinternational.workabroad.ph/profile/agency/5982/9kinternational,POEA-222-LB-122816-R,"Feb 14, 2025","Jan 03, 2031",,
,,A & C INTERNATIONAL RESOURCES INC,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://ancintl.workabroad.ph/profile/agency/597/ancintl,POEA-029-LB-031821-R,"Apr 30, 2025","Mar 04, 2031","Engineering, Construction; Health Care Industry; Heavy Engineering & Fabrication; Hotel & Restaurants; Hospitality / Support / Allied Services; Information Technology; Operation & Maintenance; Petrochemical, Oil & Gas Industries; Security & Protection Industry; Sports, Gaming & Recreation","3rd floor 1717 Adriatico Street, Malate 1004, Manila, Philippines"
,,A SYSTEM INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://asystem.workabroad.ph/profile/agency/3962/asystem,POEA-228-LB-072108-R,"Jun 28, 2024","Jan 01, 2030",,
,,A. KANAN MANPOWER CORP. (ERMITA BRANCH),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://akananmanpower.workabroad.ph/profile/agency/6367/akananmanpower,DMW-361-LB-05242024-R,"Apr 16, 2024","Apr 15, 2030",,
,,A.D.M. INTERNATIONAL MANPOWER SERVICES COMPANY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://admintl.workabroad.ph/profile/agency/1593/admintl,DMW-400-LB-07172024-R,"Jun 03, 2024","Jun 02, 2030",,
,,AAV TALENT TRAINING & MANAGEMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7070/aav-talent-training-management-inc,POEA-066-LB-031620-R,"Mar 15, 2024","Mar 14, 2030",,
,,AB INTERNATIONAL PLACEMENT INC (FORMERLY AB INTERNATIONAL PLACEMENT),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/162/ab-international-placement-inc-formerly-ab-international-placement,POEA-087-LB-032216-R,"Apr 30, 2024","Apr 04, 2030",,
,,ABC GLOBAL EMPLOYMENT & MANPOWER SERVICES INC (FORMERLY SMITH BELL MANPOWER),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://abcglobal.workabroad.ph/profile/agency/3511/abcglobal,DMW-057-LB-03232023-R,"Apr 05, 2023","Mar 15, 2027",,
,,ABD OVERSEAS MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://abdoverseas.workabroad.ph/profile/agency/1521/abdoverseas,DMW-360-LB-05242024-R,"Apr 29, 2024","May 01, 2030",,
,,ADMIRAL OVERSEAS EMPLOYMENT CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://admiral.workabroad.ph/profile/agency/2435/admiral,POEA-047-LB-062821-R,"May 24, 2022","Apr 06, 2030",,
