=== HTTP Website Email Crawler ===
Input:       output/propublica-with-domains.csv
Output:      output/propublica-crawled.csv
Concurrency: 15
Paths:       / /contact /contact-us /about /about-us
Rows: 6399 of 6399
  [0.4%] 25/6399, emails=6, 7.5/s, ETA 850s
  [0.8%] 50/6399, emails=20, 6.1/s, ETA 1041s
  [1.2%] 75/6399, emails=24, 5.2/s, ETA 1216s
  [1.6%] 100/6399, emails=30, 4.7/s, ETA 1340s
  [2.0%] 125/6399, emails=42, 3.9/s, ETA 1609s
  [2.3%] 150/6399, emails=45, 4.0/s, ETA 1562s
  [2.7%] 175/6399, emails=54, 3.9/s, ETA 1596s
  [3.1%] 200/6399, emails=61, 3.8/s, ETA 1631s
  [3.5%] 225/6399, emails=65, 3.6/s, ETA 1715s
  [3.9%] 250/6399, emails=67, 3.8/s, ETA 1618s
  [4.3%] 275/6399, emails=77, 3.6/s, ETA 1701s
  [4.7%] 300/6399, emails=81, 3.9/s, ETA 1564s
  [5.1%] 325/6399, emails=85, 3.7/s, ETA 1642s
  [5.5%] 350/6399, emails=90, 3.7/s, ETA 1635s
  [5.9%] 375/6399, emails=90, 3.7/s, ETA 1628s
  [6.3%] 400/6399, emails=93, 3.8/s, ETA 1579s
  [6.6%] 425/6399, emails=94, 3.9/s, ETA 1532s
  [7.0%] 450/6399, emails=96, 4.0/s, ETA 1487s
  [7.4%] 475/6399, emails=114, 3.9/s, ETA 1519s
  [7.8%] 500/6399, emails=123, 3.4/s, ETA 1735s
  [8.2%] 525/6399, emails=129, 3.4/s, ETA 1728s
  [8.6%] 550/6399, emails=132, 3.4/s, ETA 1720s
  [9.0%] 575/6399, emails=140, 3.3/s, ETA 1765s
  [9.4%] 600/6399, emails=147, 3.3/s, ETA 1757s
  [9.8%] 625/6399, emails=153, 3.3/s, ETA 1750s
  [10.2%] 650/6399, emails=160, 3.1/s, ETA 1855s
  [10.5%] 675/6399, emails=163, 3.1/s, ETA 1846s
  [10.9%] 700/6399, emails=168, 3.1/s, ETA 1838s
  [11.3%] 725/6399, emails=176, 3.0/s, ETA 1891s
  [11.7%] 750/6399, emails=182, 3.0/s, ETA 1883s
  [12.1%] 775/6399, emails=184, 3.1/s, ETA 1814s
  [12.5%] 800/6399, emails=191, 3.0/s, ETA 1866s
  [12.9%] 825/6399, emails=198, 2.9/s, ETA 1922s
  [13.3%] 850/6399, emails=204, 2.9/s, ETA 1913s
  [13.7%] 875/6399, emails=210, 2.9/s, ETA 1905s
  [14.1%] 900/6399, emails=212, 3.0/s, ETA 1833s
  [14.5%] 925/6399, emails=216, 3.0/s, ETA 1825s
  [14.8%] 950/6399, emails=221, 3.0/s, ETA 1816s
  [15.2%] 975/6399, emails=223, 3.1/s, ETA 1750s
  [15.6%] 1000/6399, emails=225, 3.1/s, ETA 1742s
  [16.0%] 1025/6399, emails=225, 3.2/s, ETA 1679s
  [16.4%] 1050/6399, emails=229, 3.2/s, ETA 1672s
  [16.8%] 1075/6399, emails=233, 3.3/s, ETA 1613s
  [17.2%] 1100/6399, emails=239, 3.2/s, ETA 1656s
  [17.6%] 1125/6399, emails=253, 3.1/s, ETA 1701s
  [18.0%] 1150/6399, emails=263, 3.1/s, ETA 1693s
  [18.4%] 1175/6399, emails=269, 3.1/s, ETA 1685s
  [18.8%] 1200/6399, emails=277, 3.1/s, ETA 1677s
  [19.1%] 1225/6399, emails=291, 3.1/s, ETA 1669s
  [19.5%] 1250/6399, emails=302, 3.1/s, ETA 1661s
  [19.9%] 1275/6399, emails=310, 3.1/s, ETA 1653s
  [20.3%] 1300/6399, emails=321, 3.1/s, ETA 1645s
  [20.7%] 1325/6399, emails=331, 3.2/s, ETA 1586s
  [21.1%] 1350/6399, emails=332, 3.2/s, ETA 1578s
  [21.5%] 1375/6399, emails=343, 3.2/s, ETA 1570s
  [21.9%] 1400/6399, emails=357, 3.3/s, ETA 1515s
  [22.3%] 1425/6399, emails=368, 3.3/s, ETA 1507s
  [22.7%] 1450/6399, emails=375, 3.3/s, ETA 1500s
  [23.1%] 1475/6399, emails=384, 3.3/s, ETA 1492s
  [23.4%] 1500/6399, emails=392, 3.3/s, ETA 1485s
  [23.8%] 1525/6399, emails=400, 3.2/s, ETA 1523s
  [24.2%] 1550/6399, emails=410, 3.2/s, ETA 1515s
  [24.6%] 1575/6399, emails=418, 3.2/s, ETA 1508s
  [25.0%] 1600/6399, emails=434, 3.2/s, ETA 1500s
  [25.4%] 1625/6399, emails=450, 3.2/s, ETA 1492s
  [25.8%] 1650/6399, emails=459, 3.2/s, ETA 1484s
  [26.2%] 1675/6399, emails=471, 3.2/s, ETA 1476s
  [26.6%] 1700/6399, emails=482, 3.2/s, ETA 1468s
  [27.0%] 1725/6399, emails=492, 3.2/s, ETA 1461s
  [27.3%] 1750/6399, emails=501, 3.2/s, ETA 1453s
  [27.7%] 1775/6399, emails=513, 3.2/s, ETA 1445s
  [28.1%] 1800/6399, emails=523, 3.2/s, ETA 1437s
  [28.5%] 1825/6399, emails=533, 3.2/s, ETA 1429s
  [28.9%] 1850/6399, emails=540, 3.1/s, ETA 1467s
  [29.3%] 1875/6399, emails=551, 3.0/s, ETA 1508s
  [29.7%] 1900/6399, emails=564, 3.0/s, ETA 1500s
  [30.1%] 1925/6399, emails=569, 3.1/s, ETA 1443s
  [30.5%] 1950/6399, emails=579, 3.1/s, ETA 1435s
  [30.9%] 1975/6399, emails=584, 3.1/s, ETA 1427s
  [31.3%] 2000/6399, emails=590, 3.1/s, ETA 1419s
  [31.6%] 2025/6399, emails=602, 3.1/s, ETA 1411s
  [32.0%] 2050/6399, emails=618, 3.1/s, ETA 1403s
  [32.4%] 2075/6399, emails=630, 3.0/s, ETA 1441s
  [32.8%] 2100/6399, emails=640, 3.0/s, ETA 1433s
  [33.2%] 2125/6399, emails=648, 3.0/s, ETA 1425s
  [33.6%] 2150/6399, emails=652, 3.0/s, ETA 1416s
  [34.0%] 2175/6399, emails=662, 3.0/s, ETA 1408s
  [34.4%] 2200/6399, emails=676, 3.0/s, ETA 1400s
  [34.8%] 2225/6399, emails=687, 3.0/s, ETA 1391s
  [35.2%] 2250/6399, emails=695, 2.9/s, ETA 1431s
  [35.6%] 2275/6399, emails=707, 2.9/s, ETA 1422s
  [35.9%] 2300/6399, emails=716, 2.9/s, ETA 1413s
  [36.3%] 2325/6399, emails=725, 2.8/s, ETA 1455s
  [36.7%] 2350/6399, emails=727, 2.8/s, ETA 1446s
  [37.1%] 2375/6399, emails=733, 2.8/s, ETA 1437s
  [37.5%] 2400/6399, emails=740, 2.8/s, ETA 1428s
  [37.9%] 2425/6399, emails=746, 2.8/s, ETA 1419s
  [38.3%] 2450/6399, emails=752, 2.8/s, ETA 1410s
  [38.7%] 2475/6399, emails=758, 2.8/s, ETA 1401s
  [39.1%] 2500/6399, emails=762, 2.8/s, ETA 1393s
  [39.5%] 2525/6399, emails=766, 2.9/s, ETA 1336s
  [39.8%] 2550/6399, emails=774, 2.8/s, ETA 1375s
  [40.2%] 2575/6399, emails=778, 2.8/s, ETA 1366s
  [40.6%] 2600/6399, emails=780, 2.8/s, ETA 1357s
  [41.0%] 2625/6399, emails=789, 2.8/s, ETA 1348s
  [41.4%] 2650/6399, emails=803, 2.8/s, ETA 1339s
  [41.8%] 2675/6399, emails=811, 2.8/s, ETA 1330s
  [42.2%] 2700/6399, emails=820, 2.8/s, ETA 1321s
  [42.6%] 2725/6399, emails=824, 2.8/s, ETA 1312s
  [43.0%] 2750/6399, emails=830, 2.7/s, ETA 1351s
  [43.4%] 2775/6399, emails=841, 2.7/s, ETA 1342s
  [43.8%] 2800/6399, emails=849, 2.6/s, ETA 1384s
  [44.1%] 2825/6399, emails=856, 2.6/s, ETA 1375s
  [44.5%] 2850/6399, emails=862, 2.6/s, ETA 1365s
  [44.9%] 2875/6399, emails=871, 2.6/s, ETA 1355s
  [45.3%] 2900/6399, emails=880, 2.5/s, ETA 1400s
  [45.7%] 2925/6399, emails=883, 2.4/s, ETA 1448s
  [46.1%] 2950/6399, emails=885, 2.4/s, ETA 1437s
