=== Org Domain Resolver ===
Input:       output/propublica-immigration-nonprofits.csv
Output:      output/propublica-with-domains.csv
Firm column: firm_name
Concurrency: 40
Rows needing domain: 6399 of 6399
Unique orgs: 5982
  [0.8%] 50/5982, found=48, 282.5/s, ETA 21s
  [1.7%] 100/5982, found=96, 226.8/s, ETA 26s
  [2.5%] 150/5982, found=140, 153.2/s, ETA 38s
  [3.3%] 200/5982, found=186, 136.8/s, ETA 42s
  [4.2%] 250/5982, found=232, 117.8/s, ETA 49s
  [5.0%] 300/5982, found=276, 109.3/s, ETA 52s
  [5.9%] 350/5982, found=315, 111.4/s, ETA 51s
  [6.7%] 400/5982, found=349, 115.7/s, ETA 48s
  [7.5%] 450/5982, found=389, 118.6/s, ETA 47s
  [8.4%] 500/5982, found=429, 120.8/s, ETA 45s
  [9.2%] 550/5982, found=473, 119.5/s, ETA 45s
  [10.0%] 600/5982, found=512, 120.4/s, ETA 45s
  [10.9%] 650/5982, found=553, 119.0/s, ETA 45s
  [11.7%] 700/5982, found=593, 120.2/s, ETA 44s
  [12.5%] 750/5982, found=633, 120.0/s, ETA 44s
  [13.4%] 800/5982, found=667, 119.8/s, ETA 43s
  [14.2%] 850/5982, found=699, 116.0/s, ETA 44s
  [15.0%] 900/5982, found=727, 114.1/s, ETA 45s
  [15.9%] 950/5982, found=753, 111.6/s, ETA 45s
  [16.7%] 1000/5982, found=781, 113.1/s, ETA 44s
  [17.6%] 1050/5982, found=819, 113.1/s, ETA 44s
  [18.4%] 1100/5982, found=860, 112.7/s, ETA 43s
  [19.2%] 1150/5982, found=906, 113.1/s, ETA 43s
  [20.1%] 1200/5982, found=953, 114.6/s, ETA 42s
  [20.9%] 1250/5982, found=1000, 116.8/s, ETA 41s
  [21.7%] 1300/5982, found=1046, 117.4/s, ETA 40s
  [22.6%] 1350/5982, found=1091, 117.3/s, ETA 39s
  [23.4%] 1400/5982, found=1135, 118.2/s, ETA 39s
  [24.2%] 1450/5982, found=1179, 117.6/s, ETA 39s
  [25.1%] 1500/5982, found=1225, 117.8/s, ETA 38s
  [25.9%] 1550/5982, found=1267, 116.2/s, ETA 38s
  [26.7%] 1600/5982, found=1313, 116.1/s, ETA 38s
  [27.6%] 1650/5982, found=1357, 116.6/s, ETA 37s
  [28.4%] 1700/5982, found=1405, 117.5/s, ETA 36s
  [29.3%] 1750/5982, found=1451, 118.0/s, ETA 36s
  [30.1%] 1800/5982, found=1489, 118.5/s, ETA 35s
  [30.9%] 1850/5982, found=1532, 118.5/s, ETA 35s
  [31.8%] 1900/5982, found=1576, 119.2/s, ETA 34s
  [32.6%] 1950/5982, found=1621, 119.1/s, ETA 34s
  [33.4%] 2000/5982, found=1665, 119.5/s, ETA 33s
  [34.3%] 2050/5982, found=1708, 118.1/s, ETA 33s
  [35.1%] 2100/5982, found=1751, 116.4/s, ETA 33s
  [35.9%] 2150/5982, found=1785, 116.1/s, ETA 33s
  [36.8%] 2200/5982, found=1827, 115.8/s, ETA 33s
  [37.6%] 2250/5982, found=1865, 115.9/s, ETA 32s
  [38.4%] 2300/5982, found=1898, 116.6/s, ETA 32s
  [39.3%] 2350/5982, found=1936, 116.8/s, ETA 31s
  [40.1%] 2400/5982, found=1969, 117.3/s, ETA 31s
  [41.0%] 2450/5982, found=2012, 117.4/s, ETA 30s
  [41.8%] 2500/5982, found=2058, 117.2/s, ETA 30s
  [42.6%] 2550/5982, found=2105, 116.7/s, ETA 29s
  [43.5%] 2600/5982, found=2154, 116.5/s, ETA 29s
  [44.3%] 2650/5982, found=2198, 116.2/s, ETA 29s
  [45.1%] 2700/5982, found=2243, 116.2/s, ETA 28s
  [46.0%] 2750/5982, found=2291, 115.5/s, ETA 28s
  [46.8%] 2800/5982, found=2340, 115.2/s, ETA 28s
  [47.6%] 2850/5982, found=2387, 114.8/s, ETA 27s
  [48.5%] 2900/5982, found=2435, 114.6/s, ETA 27s
  [49.3%] 2950/5982, found=2482, 114.6/s, ETA 26s
  [50.2%] 3000/5982, found=2526, 114.4/s, ETA 26s
  [51.0%] 3050/5982, found=2571, 113.9/s, ETA 26s
  [51.8%] 3100/5982, found=2614, 113.6/s, ETA 25s
  [52.7%] 3150/5982, found=2657, 113.4/s, ETA 25s
  [53.5%] 3200/5982, found=2700, 113.2/s, ETA 25s
  [54.3%] 3250/5982, found=2742, 113.4/s, ETA 24s
  [55.2%] 3300/5982, found=2785, 113.5/s, ETA 24s
  [56.0%] 3350/5982, found=2817, 113.4/s, ETA 23s
  [56.8%] 3400/5982, found=2856, 113.5/s, ETA 23s
  [57.7%] 3450/5982, found=2892, 113.6/s, ETA 22s
  [58.5%] 3500/5982, found=2928, 113.8/s, ETA 22s
  [59.3%] 3550/5982, found=2959, 114.2/s, ETA 21s
  [60.2%] 3600/5982, found=3001, 114.2/s, ETA 21s
  [61.0%] 3650/5982, found=3044, 114.4/s, ETA 20s
  [61.9%] 3700/5982, found=3089, 114.3/s, ETA 20s
  [62.7%] 3750/5982, found=3134, 114.1/s, ETA 20s
  [63.5%] 3800/5982, found=3180, 114.5/s, ETA 19s
  [64.4%] 3850/5982, found=3223, 114.7/s, ETA 19s
  [65.2%] 3900/5982, found=3267, 115.3/s, ETA 18s
  [66.0%] 3950/5982, found=3313, 115.1/s, ETA 18s
  [66.9%] 4000/5982, found=3359, 115.1/s, ETA 17s
  [67.7%] 4050/5982, found=3408, 115.2/s, ETA 17s
  [68.5%] 4100/5982, found=3453, 114.9/s, ETA 16s
  [69.4%] 4150/5982, found=3492, 114.9/s, ETA 16s
  [70.2%] 4200/5982, found=3540, 115.3/s, ETA 15s
  [71.0%] 4250/5982, found=3587, 115.2/s, ETA 15s
  [71.9%] 4300/5982, found=3633, 115.2/s, ETA 15s
  [72.7%] 4350/5982, found=3682, 115.4/s, ETA 14s
  [73.6%] 4400/5982, found=3729, 115.5/s, ETA 14s
  [74.4%] 4450/5982, found=3774, 115.4/s, ETA 13s
  [75.2%] 4500/5982, found=3817, 115.4/s, ETA 13s
  [76.1%] 4550/5982, found=3862, 115.5/s, ETA 12s
  [76.9%] 4600/5982, found=3904, 115.3/s, ETA 12s
  [77.7%] 4650/5982, found=3946, 115.5/s, ETA 12s
  [78.6%] 4700/5982, found=3992, 115.5/s, ETA 11s
  [79.4%] 4750/5982, found=4034, 115.6/s, ETA 11s
  [80.2%] 4800/5982, found=4074, 116.0/s, ETA 10s
  [81.1%] 4850/5982, found=4119, 116.2/s, ETA 10s
