first_name,last_name,firm_name,practice_area,city,state,phone,website,email,bar_number,admission_date,bar_status,source,profile_url,title,linkedin_url,bio,education,languages,practice_specialties,email_source,phone_source,website_source
,,"Moonrise Vacation Properties, LLC",,Austin,TX,+1 865-221-7704,http://www.moonrisemanagement.com/,,,,,google-maps_bar,"https://www.google.com/maps/place/Moonrise+Vacation+Properties,+LLC/data=!4m7!3m6!1s0xaf9541061531afbd:0x8a48178212ffad72!8m2!3d35.8531534!4d-83.539471!16s%2Fg%2F11trnj_43_!19sChIJva8xFQZBla8Rcq3_EoIXSIo?authuser=0&hl=en&rclk=1",Real Estate Agent,,,,,,,,
,,The Nav Agency - Austin Luxury Real Estate,,Austin,TX,+1 512-640-2242,https://thenavagency.com/,,,,,google-maps_bar,https://www.google.com/maps/place/The+Nav+Agency+-+Austin+Luxury+Real+Estate/data=!4m7!3m6!1s0x8644b5b96cf56f77:0xbb323e361163f344!8m2!3d30.2589074!4d-97.7526201!16s%2Fg%2F11lcyd6y6g!19sChIJd2_1bLm1RIYRRPNjETY-Mrs?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Marnie Colehour Real Estate,,Manchaca,TX,+1 512-415-1872,,,,,,google-maps_bar,https://www.google.com/maps/place/Marnie+Colehour+Real+Estate/data=!4m7!3m6!1s0x865b4e6dbc64c16d:0x7c3961710db640d!8m2!3d30.1338786!4d-97.8846884!16s%2Fg%2F11cpgcb9bx!19sChIJbcFkvG1OW4YRDWTbEBeWwwc?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Realty Austin Compass,,Austin,TX,+1 512-241-1300,https://www.realtyaustin.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Realty+Austin+Compass/data=!4m7!3m6!1s0x865b4b99d883a9ef:0x34a5612ff7b37e3c!8m2!3d30.2563056!4d-97.8694999!16s%2Fg%2F1hjh5lk4l!19sChIJ76mD2JlLW4YRPH6z9y9hpTQ?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Byrne Real Estate Group,,Austin,TX,+1 512-942-7880,https://www.byrne-austin.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Byrne+Real+Estate+Group/data=!4m7!3m6!1s0x865b4ac9cca8c5f9:0x6c588534a6f40316!8m2!3d30.2751894!4d-97.8028158!16s%2Fg%2F1hhh_sthw!19sChIJ-cWozMlKW4YRFgP0pjSFWGw?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Realty Austin Compass - Central,,Austin,TX,+1 512-241-1300,https://www.realtyaustin.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Realty+Austin+Compass+-+Central/data=!4m7!3m6!1s0x8644b514640cba73:0x3043296ea6e5fc7!8m2!3d30.3156766!4d-97.7346402!16s%2Fg%2F1tjyt_k3!19sChIJc7oMZBS1RIYRx19u6pYyBAM?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Pride of Texas Real Estate,,Austin,TX,+1 512-410-8037,http://www.prideoftexas.net/,,,,,google-maps_bar,https://www.google.com/maps/place/Pride+of+Texas+Real+Estate/data=!4m7!3m6!1s0x8644b5a606f67b61:0xa612be062d6c4ed6!8m2!3d30.2552606!4d-97.7352446!16s%2Fg%2F1tfjfy97!19sChIJYXv2Bqa1RIYR1k5sLQa-EqY?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Pauly Presley Realty,,Austin,TX,+1 512-482-9602,https://www.paulypresleyrealty.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,,,,,google-maps_bar,https://www.google.com/maps/place/Pauly+Presley+Realty/data=!4m7!3m6!1s0x8644b5cbe9db00c9:0x27f4943a4bf703ee!8m2!3d30.259044!4d-97.715373!16s%2Fg%2F1th0bv7_!19sChIJyQDb6cu1RIYR7gP3SzqU9Cc?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Relive Realty | Rent • Buy • Sell,,Austin,TX,+1 636-341-4649,,,,,,google-maps_bar,https://www.google.com/maps/place/Relive+Realty+%7C+Rent+%E2%80%A2+Buy+%E2%80%A2+Sell/data=!4m7!3m6!1s0x8644b583a15c757b:0x611d4e48e0dd3285!8m2!3d30.2660766!4d-97.7495595!16s%2Fg%2F11j_2q7pdp!19sChIJe3VcoYO1RIYRhTLd4EhOHWE?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Holley Homes Realty,,Austin,TX,+1 512-487-9242,https://holleyhomesrealty.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Holley+Homes+Realty/data=!4m7!3m6!1s0x865b4dc763aee8ad:0x5fbc3630602dbb42!8m2!3d30.1802428!4d-97.801809!16s%2Fg%2F11ffh15blf!19sChIJreiuY8dNW4YRQrstYDA2vF8?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,South Austin Homes - Michael Jurkash and Claire Dunn,,Austin,TX,+1 512-470-9091,http://www.mysouthaustinhomes.com/,,,,,google-maps_bar,https://www.google.com/maps/place/South+Austin+Homes+-+Michael+Jurkash+and+Claire+Dunn/data=!4m7!3m6!1s0x8644b34c59e76175:0x1a393c24c2cf584e!8m2!3d30.1498528!4d-97.8095648!16s%2Fg%2F11b6j73bhp!19sChIJdWHnWUyzRIYRTljPwiQ8ORo?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Hays Home Team at Keller Williams Realty,,Buda,TX,+1 512-434-0630,http://www.hayshometeam.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Hays+Home+Team+at+Keller+Williams+Realty/data=!4m7!3m6!1s0x865b51f650c7fea9:0x7a694d9d2bc294d5!8m2!3d30.1070188!4d-97.8757648!16s%2Fg%2F11gf9pvwbs!19sChIJqf7HUPZRW4YR1ZTCK51NaXo?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,Luisa Mauro Real Estate,,Austin,TX,+1 512-220-0565,https://lmauroatx.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Luisa+Mauro+Real+Estate/data=!4m7!3m6!1s0x8644ca7fc7bb1cf5:0x24d6fb479f581f86!8m2!3d30.278304!4d-97.7513499!16s%2Fg%2F11gdvk1h5v!19sChIJ9Ry7x3_KRIYRhh9Yn0f71iQ?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
,,"Dena Davis, Realtor - Dena Davis Team",,Austin,TX,+1 512-686-3348,https://www.daviscompany.com/,,,,,google-maps_bar,"https://www.google.com/maps/place/Dena+Davis,+Realtor+-+Dena+Davis+Team/data=!4m7!3m6!1s0x865b4e81d516dec9:0x967986adcb1530a8!8m2!3d30.1708224!4d-97.8532129!16s%2Fg%2F1v96m6b0!19sChIJyd4W1YFOW4YRqDAVy62GeZY?authuser=0&hl=en&rclk=1",Real Estate Agent,,,,,,,,
,,"Justin Cofield - Austin Texas Realtor brokered by REAL Broker, LLC.",,Austin,TX,+1 512-971-0157,http://ownalittlepieceoftexas.com/,,,,,google-maps_bar,"https://www.google.com/maps/place/Justin+Cofield+-+Austin+Texas+Realtor+brokered+by+REAL+Broker,+LLC./data=!4m7!3m6!1s0x865b4f97a4918193:0xbf357a8278068d86!8m2!3d30.1858881!4d-97.9489063!16s%2Fg%2F11gzqsskbh!19sChIJk4GRpJdPW4YRho0GeIJ6Nb8?authuser=0&hl=en&rclk=1",Real Estate Agent,,,,,,,,
,,The Agency Texas,,Austin,TX,+1 512-890-1372,https://theagencytexas.com/,,,,,google-maps_bar,https://www.google.com/maps/place/The+Agency+Texas/data=!4m7!3m6!1s0x8644ca343fb39177:0x149b8a761a36554c!8m2!3d30.3417782!4d-97.7159821!16s%2Fg%2F11c3s9609w!19sChIJd5GzPzTKRIYRTFU2GnaKmxQ?authuser=0&hl=en&rclk=1,Real Estate Agent,,,,,,,,
