first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,fax,street_address,zip,services,languages
,,ABA Immigration Justice Project of San Diego,Immigration Legal Services,,(619) 255-8810,http://www.americanbar.org/ijp,americanbar.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392628-ABA_Immigration_Justice_Project_of_San_Diego,(619) 255-8792,"2727 Camino del Rio South, Suite 320",92108,,
,,Access California Services,Immigration Legal Services,,(714) 917-0440,http://www.accesscal.org,accesscal.org,Anaheim,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392661-Access_California_Services,(714) 917-0441,300 W. Carl Karcher Way,92801,,
,,Advancing Justice - Asian Law Caucus,Immigration Legal Services,,(415) 896-1701,http://advancingjustice-alc.org/,advancingjustice-alc.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392692-Advancing_Justice_Asian_Law_Caucus,(415) 896-1702,55 Columbus Ave,94111,,
,,African Advocacy Network,Immigration Legal Services,,(415) 234-3380,https://www.aansf.org,aansf.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.810935-African_Advocacy_Network,(415) 872-9074,3106 Folsom Street,94110,,
,,Ahri for Justice,Immigration Legal Services,,(323) 565-1101,https://ah-ri.org/,ah-ri.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.757450-Ahri_for_Justice,,"3727 W 6th Street, Suite 512",90020,,
,,AIDS Legal Referral Panel - Immigrant HIV Pro Bono assistance,Immigration Legal Services,,(415) 701-1200  313,http://www.alrp.org,alrp.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392665-AIDS_Legal_Referral_Panel_Immigrant_HIV_Pro_Bono_assistance,(415) 701-1400,"1663 Mission St, Suite 500",94103,,
,,Aiming Higher,Immigration Legal Services,,(760) 842-5551,,,Vista,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.658260-Aiming_Higher,,1035 E Vista Way Suite 214,92084,,
,,Alliance for African Assistance,Immigration Legal Services,,(619) 286-9052  229,http://www.alliance-for-africa.org,alliance-for-africa.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392564-Alliance_for_African_Assistance,(619) 286-9053,5952 El Cajon Blvd,92115,,
,,Alliance San Diego,Immigration Legal Services,,(619) 269-1823426,https://www.alliancesd.org/,alliancesd.org,San Diego,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.810394-Alliance_San_Diego,,P.O. Box 12266,92112,,
,,Arab Resource and Organizing Center,Immigration Legal Services,,(415) 861-7444,http://www.araborganizing.org,araborganizing.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392669-Arab_Resource_and_Organizing_Center,(415) 480-2723,522 Valencia St,94110,,
,,Asian Americans Advancing Justice-LA,Immigration Legal Services,,(213) 977-7500,http://www.advancingjustice-la.org,advancingjustice-la.org,Los Angeles,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392668-Asian_Americans_Advancing_JusticeLA,(213) 977-7595,"1145 Wilshire Blvd, 2nd Floor",90017,,
,,Asian Law Alliance,Immigration Legal Services,,(408) 287-9710,http://www.asianlawalliance.org,asianlawalliance.org,San Jose,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392602-Asian_Law_Alliance,(408) 287-0864,"991 W. Hedding St, Suite 202",95126,,
,,Asian Pacific Islander Legal Outreach (Oakland Office),Immigration Legal Services,,(510) 251-2846,http://www.apilegaloutreach.org,apilegaloutreach.org,Oakland,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392603-Asian_Pacific_Islander_Legal_Outreach_Oakland_Office,(510) 251-2292,"1305 Franklin St, Suite 410",94612,,
,,Asian Pacific Islander Legal Outreach (San Francisco Office),Immigration Legal Services,,(415) 567-6255,http://www.apilegaloutreach.org,apilegaloutreach.org,San Francisco,CA,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392604-Asian_Pacific_Islander_Legal_Outreach_San_Francisco_Office,(415) 567-6248,1121 Mission St,94103,,
