first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,rating,attorneys
,,"Law Offices of Ma. Rita S. Vesagas, APC",Immigration Law Firm,,,,,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/beverly-hills/california/law-offices-of-ma-rita-s-vesagas-apc-34288990-f/,5.0,
,,Spartan Law,Immigration Law Firm,,,https://www.lawyerconsults.com/,lawyerconsults.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/beverly-hills/california/spartan-law-160105705-f/,4.9,
,,Providence Immigration Law Firm,Immigration Law Firm,,,https://provimmigration.com/,provimmigration.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/ontario/california/providence-immigration-law-firm-300053765-f/,,
,,"Modern Law Group, P.C.",Immigration Law Firm,,,https://www.lawofficeimmigration.com/,lawofficeimmigration.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/san-diego/california/modern-law-group-p-c-300018267-f/,,
,,Amervisa Immigration Law Offices,Immigration Law Firm,,,http://www.amervisa.com,amervisa.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/culver-city/california/amervisa-immigration-law-offices-45009587-f/,1.0,
,,"The Law Offices of Diana L. Levy, P.A.",Immigration Law Firm,,,https://dianalevy.com/,dianalevy.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-law-offices-of-diana-l-levy-p-a-300050067-f/,,
,,Heerekar Law Firm,Immigration Law Firm,,,https://heerekarlaw.com,heerekarlaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/heerekar-law-firm-300029397-f/,,
,,Kostiv Cardinal,Immigration Law Firm,,,https://kostivcardinal.com/,kostivcardinal.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/kostiv-cardinal-300040559-f/,,
,,Law Offices of Judith L. Wood,Immigration Law Firm,,,https://www.lawofficesofjudithlwood.com,lawofficesofjudithlwood.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/law-offices-of-judith-l-wood-300039701-f/,,
,,"The Journey Law Group, P.C.",Immigration Law Firm,,,https://www.thejourneylaw.com/,thejourneylaw.com,Los Angeles,CA,US,immigration,lawyers_com,https://www.lawyers.com/los-angeles/california/the-journey-law-group-p-c-300049759-f/,5.0,
