first_name,last_name,firm_name,practice_area,city,state,phone,website,email,bar_number,admission_date,bar_status,source,profile_url,title,linkedin_url,bio,education,languages,practice_specialties,email_source,phone_source,website_source
,,Oregon Humane Portland Campus,,Portland,OR,+1 503-285-7722,https://www.oregonhumane.org/,,,,,google-maps_bar,https://www.google.com/maps/place/Oregon+Humane+Portland+Campus/data=!4m7!3m6!1s0x5495a65795001afb:0xa159659b66ffa1dd!8m2!3d45.579161!4d-122.65271!16s%2Fg%2F1tgp9_6x!19sChIJ-xoAlVemlVQR3aH_ZptlWaE?authuser=0&hl=en&rclk=1,,,,,,,,,
,,Sorrento Animal Hospital,,Portland,OR,+1 503-524-5029,http://www.sorrentoanimalhospital.com/,hello@sorrentoanimalhospital.com,,,,google-maps_bar,https://www.google.com/maps/place/Sorrento+Animal+Hospital/data=!4m7!3m6!1s0x54950d08173813f9:0x339193a4ea1f889e!8m2!3d45.4429761!4d-122.8063151!16s%2Fg%2F1tdwk6ct!19sChIJ-RM4FwgNlVQRnogf6qSTkTM?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,website,,
Lisa,DVMVETERINARIAN,Mountainside Veterinary Hospital,,Beaverton,OR,+1 971-405-1111,https://www.mountainsidevets.com/,info@mountainsidevets.com,,,,"google-maps_bar, website_crawl",https://www.google.com/maps/place/Mountainside+Veterinary+Hospital/data=!4m7!3m6!1s0x54950dd8a8472cbf:0xc18aec8667f74e70!8m2!3d45.4288232!4d-122.8312371!16s%2Fg%2F11pdgr8gpj!19sChIJvyxHqNgNlVQRcE73Z4bsisE?authuser=0&hl=en&rclk=1,Veterinarian,https://www.linkedin.com/in/lisa-dvmveterinarian,,,,,website,,
,,VCA Murrayhill Veterinary Hospital,,Beaverton,OR,+1 503-579-3300,https://vcahospitals.com/murrayhill?utm_source=maps&utm_medium=organic&utm_campaign=AU_4049,,,,,google-maps_bar,https://www.google.com/maps/place/VCA+Murrayhill+Veterinary+Hospital/data=!4m7!3m6!1s0x54950d9c09a081a5:0x5b919d9cc840c114!8m2!3d45.4413261!4d-122.8290334!16s%2Fg%2F1wnf0rzh!19sChIJpYGgCZwNlVQRFMFAyJydkVs?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Nimbus Pet Hospital,,Tigard,OR,+1 971-300-0613,http://nimbuspet.com/,info@nimbuspet.com,,,,google-maps_bar,https://www.google.com/maps/place/Nimbus+Pet+Hospital/data=!4m7!3m6!1s0x54950d3743d5bb29:0x329f01459c1ce724!8m2!3d45.4464957!4d-122.7896577!16s%2Fg%2F11sk34t57_!19sChIJKbvVQzcNlVQRJOccnEUBnzI?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,website,,
,,Bridgetown Veterinary Emergency + Referral,,Portland,OR,+1 503-489-9535,https://www.bridgetownvet.com/,referral@bridgetownvet.com,,,,google-maps_bar,https://www.google.com/maps/place/Bridgetown+Veterinary+Emergency+%2B+Referral/data=!4m7!3m6!1s0x54957313ff4e1489:0xe875751ba053d97f!8m2!3d45.4095288!4d-122.7481045!16s%2Fg%2F11rg_zn425!19sChIJiRRO_xNzlVQRf9lToBt1deg?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,website,,
,,Hearthstone Veterinary Hospital,,Tigard,OR,+1 971-384-1310,https://hearthstoneveterinary.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Hearthstone+Veterinary+Hospital/data=!4m7!3m6!1s0x54950d1327c29edb:0x443ccc023d86a58e!8m2!3d45.4325584!4d-122.8237491!16s%2Fg%2F11t8p1vs2y!19sChIJ257CJxMNlVQRjqWGPQLMPEQ?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Cascade Veterinary Referral Center,,Tigard,OR,+1 971-478-1295,https://cascadevrc.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Cascade+Veterinary+Referral+Center/data=!4m7!3m6!1s0x54950cc0f740acc7:0xf6dbddd3f4c8d88e!8m2!3d45.4391906!4d-122.7467475!16s%2Fg%2F1trc4nx7!19sChIJx6xA98AMlVQRjtjI9NPd2_Y?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Vista Pet Hospital,,Portland,OR,+1 503-297-2218,https://vistapethospital.net/,,,,,google-maps_bar,https://www.google.com/maps/place/Vista+Pet+Hospital/data=!4m7!3m6!1s0x54950bfd112be1b1:0xb72a7198e2b6a48!8m2!3d45.498208!4d-122.768092!16s%2Fg%2F1tdj3xyj!19sChIJseErEf0LlVQRSGorjhmncgs?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Banfield Pet Hospital,,Beaverton,OR,+1 503-521-0358,https://www.banfield.com/locations/veterinarians/or/beaverton/prg/?utm_source=yext&utm_medium=yext&utm_campaign=yext&utm_content=engine50&cid=yext_local,,,,,google-maps_bar,https://www.google.com/maps/place/Banfield+Pet+Hospital/data=!4m7!3m6!1s0x54950d7bd640bd67:0xf03dcac4b4b9b011!8m2!3d45.4309533!4d-122.8301874!16s%2Fg%2F12qg69km4!19sChIJZ71A1nsNlVQREbC5tMTKPfA?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Portland Animal Chiropractic,,Beaverton,OR,+1 503-707-9234,https://www.portlandanimalchiropractic.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Portland+Animal+Chiropractic/data=!4m7!3m6!1s0x54950d898423199f:0x989cb124b27324aa!8m2!3d45.4373247!4d-122.848754!16s%2Fg%2F11y3b8j0ms!19sChIJnxkjhIkNlVQRqiRzsiSxnJg?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Pacific Veterinary Hospital,,Portland,OR,+1 503-246-3373,http://www.pacificveterinaryhospital.com/?utm_source=gmb&utm_medium=organic&y_source=1_MjA3MDg2NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,,google-maps_bar,https://www.google.com/maps/place/Pacific+Veterinary+Hospital/data=!4m7!3m6!1s0x54950b66b85a9be3:0x3273617bb264f11!8m2!3d45.455662!4d-122.71777!16s%2Fg%2F1tcxpcrn!19sChIJ45tauGYLlVQREU8muxc2JwM?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Tanasbourne Veterinary Emergency,,Beaverton,OR,+1 503-629-5800,http://www.tanasbourneveter.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Tanasbourne+Veterinary+Emergency/data=!4m7!3m6!1s0x54950f65142fd19f:0x95c85077081fa26a!8m2!3d45.536718!4d-122.8560594!16s%2Fg%2F1tdz4jzv!19sChIJn9EvFGUPlVQRaqIfCHdQyJU?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Sadie Veterinary Urgent Care,,Portland,OR,+1 503-710-9769,https://www.sadievetpdx.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Sadie+Veterinary+Urgent+Care/data=!4m7!3m6!1s0x5495a1721e3fe8e9:0xff563f457968aca1!8m2!3d45.5193378!4d-122.5807049!16s%2Fg%2F11tk3ny_h4!19sChIJ6eg_HnKhlVQRoaxoeUU_Vv8?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Healing Arts Animal Care,,Beaverton,OR,+1 971-703-3303,https://healingartsanimalcare.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Healing+Arts+Animal+Care/data=!4m7!3m6!1s0x54950bf487074b85:0x59d7575d01424f01!8m2!3d45.4582573!4d-122.7937095!16s%2Fg%2F11b77hy3x2!19sChIJhUsHh_QLlVQRAU9CAV1X11k?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Heart and Soul Animal Urgent Care,,Portland,OR,+1 503-749-9400,http://www.pdxheartandsoul.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Heart+and+Soul+Animal+Urgent+Care/data=!4m7!3m6!1s0x5495a745768d04cb:0xe894d4ff1c36d522!8m2!3d45.562966!4d-122.6622101!16s%2Fg%2F11fj9h1w59!19sChIJywSNdkWnlVQRItU2HP_UlOg?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,DoveLewis 24/7 Veterinary Emergency Hospital,,Portland,OR,+1 503-228-7281,http://dovelewis.org/,,,,,google-maps_bar,https://www.google.com/maps/place/DoveLewis+24%2F7+Veterinary+Emergency+Hospital/data=!4m7!3m6!1s0x549509fca9036e0b:0x25d7cef79835b848!8m2!3d45.5330605!4d-122.6913345!16s%2Fg%2F1yg6nr5_s!19sChIJC24DqfwJlVQRSLg1mPfO1yU?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
,,Hart Road Animal Hospital,,Beaverton,OR,+1 503-591-5282,http://www.hartroadanimalhospital.com/,,,,,google-maps_bar,https://www.google.com/maps/place/Hart+Road+Animal+Hospital/data=!4m7!3m6!1s0x54950ddcf9f45fd7:0x32d477a06b7c3c3!8m2!3d45.465289!4d-122.845644!16s%2Fg%2F1tq6jsrz!19sChIJ11_0-dwNlVQRw8O3BnpHLQM?authuser=0&hl=en&rclk=1,Veterinarian,,,,,,,,
