email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@iemslondon.co.uk,,,IEMS London limited,,https://www.iemslondon.co.uk/,London,,United Kingdom,study abroad / migration agent,icef_ias,IEMS London limited is an international education consultancy specializing in high-quality UK student placements. From university shortlisting and col
info@ealoorconsultancy.co.uk,,,Ealoor Consultancy Ltd,,https://www.ealoorconsultancy.co.uk,Stockport,,United Kingdom,study abroad / migration agent,icef_ias,Ealoor Consultancy UK Ltd is an international student recruitment and study abroad consultancy with over 20 years of experience supporting students pu
goldensteghlal@gmail.com,,,Expedu,,https://www.expedu.com.tr,London,,United Kingdom,study abroad / migration agent,icef_ias,Expedu International Education Consultancy has been sending numerous students abroad for educational purposes since 2005. We suggest the most suitable
info@rseducation.co.uk,,,RS Education Limited,,https://www.rseducation.co.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,"RS Education, founded in 2020, provides comprehensive support for students from the start of the application process through their university studies."
info@wiloreducation.co.uk,,,Wilor Education,,https://wiloreducation.co.uk/,Romford,,United Kingdom,study abroad / migration agent,icef_ias,Wilor Ltd. is a UK-based international student recruitment consultancy supporting prospective students in pursuing domestic and overseas study opportu
info@ahzassociates.co.uk,,,AHZ Ltd,,https://ahzassociates.co.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,"AHZ Ltd, established in 2012, is a distinguished representative of higher education institutions based in the United Kingdom, with multiple branches g"
info@ctcglobal.co.uk,,,Cambridge Training & Consultancy,,https://www.ctcglobal.co.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,"Cambridge Training & Consultancy (CTC) is a UK-based organization specializing in higher education placement, corporate training, and international co"
info@hightimeacem.co.uk,,,High Time Consultation & Academy,,https://www.hightimeacademy.co.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,"High Time Consultation & Academy is an international student recruitment agency supporting institutions with student recruitment across Nigeria, Ghana"
info@uniglobeedu.com,,,ProQuest Solutions Ltd t/a UniGlobe Education,,https://www.uniglobeeducation.co.uk,2 Leman Street,,United Kingdom,study abroad / migration agent,icef_ias,"UniGlobe Education UK is a London-based overseas education consultancy that supports students in gaining admission to top universities, particularly i"
info@helpculture.com,,,Helpculture,,https://www.helpculture.co.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,Helpculture Ltd provides personalised education consulting services for students of all ages - from children and teenagers to adults - who wish to stu
info@wayfinderglobaledu.com,,,The WayFinder,,https://www.wayfinderglobaledu.com/,London,,United Kingdom,study abroad / migration agent,icef_ias,
london@globalaspirations.co.uk,,,Global Aspirations Limited,,https://www.globalaspirations.co.uk,Harrow,,United Kingdom,study abroad / migration agent,icef_ias,"Global Aspirations was established in 2022 with the sole purpose of facilitating youth in exploring academic opportunities abroad, based on their pers"
admission@globaleducare.org.uk,,,Global Educare Consultant,,https://www.globaleducare.org.uk,"246-250, romford  ROAD",,United Kingdom,study abroad / migration agent,icef_ias,"Global Educare Consultant (GEC) was established in 2020 and is based in London, United Kingdom. The organisation provides education consultancy servic"
info@ieis.org.uk,,,The IEIS Education Group Ltd,,https://www.ieis.org.uk,Dudley,,United Kingdom,study abroad / migration agent,icef_ias,"The IEIS Education Group Ltd, incorporated on January 6, 1999, has aided thousands of international students in achieving their goal of obtaining inte"
info@eduexpress.org.uk,,,EduExpress Limited,,https://www.eduexpress.org.uk,London,,United Kingdom,study abroad / migration agent,icef_ias,Edu Express Ltd supports students in navigating international study pathways and making informed decisions about their education overseas. As a London
info@uniladder.com,,,Uni Ladder Consultancy,,https://ukuniladder.com,London,,United Kingdom,study abroad / migration agent,icef_ias,"Uni Ladder is a London-based international student recruitment organisation with a primary focus on South Asia, particularly Nepal and Bangladesh. Fro"
info@cayenneus.com,,,Cayenne Education,,https://www.cayenneus.com,Manchester,,United Kingdom,study abroad / migration agent,icef_ias,"Cayenne Education, established in 2017, specializes in providing counseling and educational services. Our team comprises experienced individuals with "
%20info@baceducationcons.co.uk,,,BAC Education Consultancy Ltd,,https://www.baceducationcons.co.uk,"Kent, Dartford",,United Kingdom,study abroad / migration agent,icef_ias,BAC Education Consultancy Ltd is a UK-based company founded in 2017 that specializes in overseas education services. We are committed to providing hig
info@sagittertraining.com,,,Sagitter Training,,https://www.sagittertraining.com/en/,London,,United Kingdom,study abroad / migration agent,icef_ias,"For over ten years, we’ve been helping students learn and grow in new environments abroad. Our programmes cover trending topics and fun activities, gi"
info@gecconsultant.co.uk,,,GEC Consultant,,https://gecconsultant.co.uk/,London,,United Kingdom,study abroad / migration agent,icef_ias,"As education counsellors, our foremost priority is to understand each student’s goals and needs, providing fully personalised guidance throughout thei"
info@handkbusiness.co.uk,,,Hassle Free Education,,https://handkbusiness.co.uk/,London,,United Kingdom,study abroad / migration agent,icef_ias,"Located in the heart of East London, we offer an extensive range of academic and vocational courses for all ages. We also provide community programmes"
info@albatrosseducation.com,,,Albatross Education Ltd.,,https://albatrosseducation.com/,London,,United Kingdom,study abroad / migration agent,icef_ias,Albatross Education ltd is a higher education admission consultancy firm. Our aim is to develop an accessible platform for admission guidance for stud
info@missionstudyabroad.com,,,Mission Study Abroad,,https://www.missionstudyabroad.com,London,,United Kingdom,study abroad / migration agent,icef_ias,Mission Study Abroad helps Italian and international students gain access to top-rated universities in the UK through personalised consulting and appl
info@divine-education.com,,,Divine Education Group,,https://www.divine-education.com/,London,,United Kingdom,study abroad / migration agent,icef_ias,"Divine Education, established in 2016, is dedicated to providing personalized and informed support to students and families. Our founder's expertise i"
admissions@oxfordonlineschool.org,,,Chelsea Education Consultancy,,https://www.cec.ac,Oxford,,United Kingdom,study abroad / migration agent,icef_ias,"Chelsea Education Consultancy has been supporting international students for over 15 years, successfully placing hundreds of candidates into leading U"
info@leoglobaloverseas.com,,,LEO Global Overseas,,https://www.leoglobaloverseas.com,Basildon,,United Kingdom,study abroad / migration agent,icef_ias,"Founded in 2012 in Guntur with just 20 students, Leo Global has grown steadily and now operates across nine Indian cities as well as in London. Much o"
info@education-ftc.com,,,F.T.C International Education,,https://www.education-ftc.com,Bournemouth,,United Kingdom,study abroad / migration agent,icef_ias,"At F.T.C. International Education, we are a dedicated study abroad consultancy committed to guiding students through every step of their international"
info@theacsglobal.com,,,ACS Global Consultants,,https://theacsglobal.com,Birmingham,,United Kingdom,study abroad / migration agent,icef_ias,ACS Global Consultants is a premier study abroad agency dedicated to guiding students toward their international education goals. With a strong commit
enquiries@justenrolled.com,,,Justenrolled Ltd,,https://www.justenrolled.com,Wolverhampton,,United Kingdom,study abroad / migration agent,icef_ias,Justenrolled Ltd is a prominent education consultancy firm specializing in student recruitment for top-tier universities and colleges worldwide. Estab
info@dreamtravelstudy.com,,,Dream Travel and Study,,https://dreamtravelstudy.com/,London,,United Kingdom,study abroad / migration agent,icef_ias,"Dream Travel & Study is a global education agency offering language immersion and academic programs abroad. Their services span from short, intensive "
enquiries@abbeycollege.co.uk,,,Abbey College,+44 1684 892300,http://www.abbeycollege.co.uk,Malvern Wells,Worcestershire,United Kingdom,ESL Language School,english-uk-schools,
info@alpadia.com,,,Alpadia Language Camps by Kaplan International,+41 21 6218888,https://www.alpadia.com,London,London,United Kingdom,ESL Language School,english-uk-schools,
language@aru.ac.uk,,,Anglia Ruskin University,+44 1223 698020,http://www.aru.ac.uk/language,Cambridge,Cambs,United Kingdom,ESL Language School,english-uk-schools,
contact@anglo.uk.com,,,Anglo Ltd,+44 1202 296868,https://www.anglo.uk.com,Bournemouth,Dorset,United Kingdom,ESL Language School,english-uk-schools,
mlaw@anglo-continental.com,,,Anglo-Continental School of English,+44 01202 557414,https://www.anglo-continental.com,Bournemouth,Dorset,United Kingdom,ESL Language School,english-uk-schools,
info@anglotec.com,,,Anglotec Academy,+44 1723 367141,http://www.anglotec.com,Scarborough,North Yorkshire,United Kingdom,ESL Language School,english-uk-schools,
info@theardmoregroup.com,,,"Ardmore Language School, Year Round",+44 1628826699,http://www.theardmoregroup.com,Burchetts green - Maidenhead,Berkshire,United Kingdom,ESL Language School,english-uk-schools,
admissions@bathacademy.co.uk,,,Bath Academy Ltd,+44 1225 334577,https://www.bathacademy.co.uk/courses/english-language-courses/,Bath,Bath &amp; N E Somerset,United Kingdom,ESL Language School,english-uk-schools,
bournemouth@bayswater.ac,,,Bayswater Bournemouth,+44 1202 836731,https://www.bayswater.ac/destination/bournemouth,Bournemouth,Dorset,United Kingdom,ESL Language School,english-uk-schools,
brighton@bayswater.ac,,,Bayswater Brighton,+44 1273 646510,https://www.bayswater.ac/,Hove,Sussex,United Kingdom,ESL Language School,english-uk-schools,
leeds@bayswater.ac,,,Bayswater Leeds (formerly Leeds English Language School),+44 113 2883047,http://www.leedsenglish.com,Leeds,West Yorkshire,United Kingdom,ESL Language School,english-uk-schools,
liverpool@bayswater.ac,,,Bayswater Liverpool,+44151 707 8905,https://www.bayswater.ac/destination/liverpool,Liverpool,Merseyside,United Kingdom,ESL Language School,english-uk-schools,
info@bayswater.ac,,,Bayswater London,+44 20 72217259,http://www.bayswater.ac/,London,Greater London,United Kingdom,ESL Language School,english-uk-schools,
summer.school@bedes.org,,,Bede's Summer School,+44 1323 356688,http://www.bedessummerschool.org,Hailsham,East Sussex,United Kingdom,ESL Language School,english-uk-schools,
