first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
,,Arshed And Co,SRA: 569253,,+441612250777,,,Manchester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/14825-arshed-and-co/
,,Emerald Solicitors,SRA: 483240,,+441634780230,,,Chatham,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/6025-emerald-solicitors/
,,Swift Lawyers Limited,SRA: 563659,,+441942886825,,,Atherton,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/13610-swift-lawyers-limited/
,,Manchester Associates Legal Service,SRA: 515918,,+441618650177,,,Manchester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/12638-manchester-associates-legal-service/
,,Curzon Green Solicitors,SRA: 624987,,+441494451355,,,High Wycombe,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/17068-curzon-green-solicitors/
,,A & P Solicitors,SRA: 568899,,,,,North Harrow,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/14743-a-p-solicitors/
,,One Source Solicitors,SRA: 469226,,+441617954195,,,Manchester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5766-one-source-solicitors/
,,Touchwood Solicitors,SRA: 567266,,+441215724979,,,Moseley,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/14477-touchwood-solicitors/
,,V P Thakrar & Co,SRA: 419941,,+442089050021,,,Stanmore,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4366-v-p-thakrar-co/
,,Nantha And Co,SRA: 402692,,+442085404755,,,South Wimbledon,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4081-nantha-and-co/
,,Del & Co Solicitors,SRA: 405802,,+442088809393,,,Haringey,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4163-del-co-solicitors/
,,H&s Legal,SRA: 408672,,+441215231081,,,Birmingham,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4257-hs-legal/
,,Wai Leung Solicitors,SRA: 422219,,+441622772416,,,Maidstone,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4454-wai-leung-solicitors/
,,Flourish,SRA: 425245,,+447960813087,,,Tottenham,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4593-flourish/
,,Albany Solicitors,SRA: 440517,,+442920472728,,,Cardiff,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/4846-albany-solicitors/
,,Immigration Advisory Service,SRA: 288801,,+442079671200,,,The Borough,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/2439-immigration-advisory-service/
,,D J Webb & Co,SRA: 264171,,+442074805999,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/2802-d-j-webb-co/
,,Chris Raja Solicitors,SRA: 366471,,+442089528606,,,Stanmore,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/3576-chris-raja-solicitors/
,,Asg Immigration Limited,SRA: 388654,,+442072993330,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/3893-asg-immigration-limited/
,,Paragon Law Limited,SRA: 562016,,+442078309308,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/3925-paragon-law-limited/
,,Osmans Solicitors,SRA: 399780,,+442085387666,,,Hounslow,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/3970-osmans-solicitors/
,,Sturtivant & Co,SRA: 61018,,+4402074869524,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/1323-sturtivant-co/
,,Henneberry & Co,SRA: 61156,,+447903099333,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/1330-henneberry-co/
,,Pillai & Jones,SRA: 75529,,+442085553675,,,,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/2100-pillai-jones/
,,Jasvir Jutla & Company,SRA: 77878,,+441162540809,,,Leicester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/2244-jasvir-jutla-company/
,,Ashcott Solicitors Limited,SRA: 540780,,+447956555797,,,Manchester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/8134-ashcott-solicitors-limited/
,,Cartwright Solicitors,SRA: 541354,,+441274499215,,,Frizinghall,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/8153-cartwright-solicitors/
,,Coward & Co,SRA: 541912,,+448432892710,,,Broad Green,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/8189-coward-co/
,,Raffles Haig Solicitors,SRA: 446760,,+442079976455,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5089-raffles-haig-solicitors/
,,Slade & Fletcher Solicitors,SRA: 448842,,+442077336506,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5166-slade-fletcher-solicitors/
,,Fragomen LLP,SRA: 568282,,,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5279-fragomen-llp/
,,James Solicitors,SRA: 462981,,+442088555954,,,North Woolwich,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5421-james-solicitors/
,,Deen Wahid Solicitors,SRA: 469073,,+441614920300,,,Manchester,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5755-deen-wahid-solicitors/
,,Stringfellow & Co,SRA: 469490,,+442073714040,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5781-stringfellow-co/
,,Jusmount & Co,SRA: 471468,,+441217738911,,,Sparkbrook,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/5863-jusmount-co/
,,Legend Solicitors,SRA: 559773,,+442031301747,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/9043-legend-solicitors/
,,Newspaper Society,SRA: 63904,,+442079637496,,,London,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/9752-newspaper-society/
,,Morgan Mark Solicitors,SRA: 515595,,+442085530255,,,Ilford,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/7150-morgan-mark-solicitors/
,,Dabd,SRA: 521001,,+442082525340,,,Barking,UK-EW,UK,immigration,solicitors_guru,https://solicitors.guru/office/7453-dabd/
