email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
iss.eduabroad@gmail.com,,,INTERNATIONAL STUDENT SERVICES,,https://issedubd.com/,Chattogram,,Bangladesh,study abroad / migration agent,icef_ias,International Student Services (ISS) is dedicated to empowering students from Bangladesh to achieve academic success and meaningful cultural experienc
%20info@careerpaths.com.bd,,,Career Paths,,https://careerpaths.com.bd/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Career Paths works with a network of trusted university partners across more than 20 countries. The agency supports students in identifying suitable s
query.infostudy@gmail.com,,,InfoStudy - Bangladesh,,https://www.infostudy.com.bd,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,InfoStudy is a Bangladesh-based education consultancy supporting students who are planning to study overseas. We advise students on suitable instituti
info@biic.com.bd,,,Banglay IELTS & Immigration Center,,https://biic.com.bd/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Banglay IELTS, founded in 2021, is dedicated to making English language education accessible across Bangladesh, breaking down language barriers for co"
first.last@email.com,,,GIC Education Ltd,,https://www.gicbdedu.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,GIC Education Ltd is a premier global consultancy specializing in strategic academic placement and career development. We leverage an extensive intern
info@graduatetrack.com,,,Graduate Track,,https://www.graduatetrack.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Graduate Track is a one-stop student visa consultancy agency in Dhaka. We provide higher study solutions for students and assist in studying in Austra
info.linkabroad@gmail.com,,,Link Abroad,,https://www.linkabroad.org/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Link Abroad is an internationally recognised education agency that supports and advises students seeking higher education opportunities abroad. We bel
shebaeducation@gmail.com,,,Sheba Consultancy Group,,https://shebaconsultancy.com/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"SHEBA Consultancy Group is one of Bangladesh’s trusted international education consultancies, specializing in bridging the gap between global universi"
contact@studymaxglobal.com,,,StudyMax Global,,https://studymaxglobal.com/,,,Bangladesh,study abroad / migration agent,icef_ias,
info@queenscollege.edu.bd,,,Queens International,,https://www.queens.edu.bd/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Queens School & College is collaborated with USA, CANADA, AUSTRALIA, NEW ZEALAND Education Institutes. It has strong partnerships with foreign schools"
info@gecare.co.uk,,,Global Education Care,,https://gecare.co.uk/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Global Education Care Bangladesh was established in 2012 with the firm belief that education is an essential human right. Our unwavering commitment to
msunjid@gmail.com,,,Confidence Consultancy,,https://confidenceconsultancy.com/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Since 2008, Confidence Consultancy has been a trusted institutional partner in international education, providing end-to-end support for students seek"
bgc@bee-bd.com,,,Bee Global Consultancy,,http://www.beeglobalconsultancy.com/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Since 2018, BEE Global Consultancy has been instrumental in helping students achieve remarkable success in their study abroad endeavors. With a dedica"
info@eurolinkbd.com,,,Euro Link,,https://www.eurolinkbd.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Euro Link is one of Bangladesh’s most trusted student visa and study-abroad consultancies, with offices in Dhaka, Sylhet, and Chittagong. We provide r"
dhaka@globalstudy.com.bd,,,Global Study Limited,,https://www.globalstudyltd.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Global Study Ltd is the one-stop solution for all of our students' international study requirements. Established in 2004, our main focus lies in assis"
dreamstudyinternational@gmail.com,,,Dream Study International,,https://www.dreamstudyinternational.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"We are a renowned education consultancy supporting prospective students who wish to pursue their studies in Canada, the UK, the USA, Australia, Sweden"
sunway.apply@gmail.com,,,Sunway Overseas Admission Consultant,,https://www.sunwayadmission.us,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Sunway Overseas Admission Consultants is a reputable company with 15 years of experience in providing expert guidance and support to students seeking 
support@yesedu.com,,,YES Education - Higher Education Consultant,,https://yesehec.com/,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"YES Education - Your Pathway to UK Higher Education At YES Education, we are dedicated to empowering aspiring students to unlock the doors to world-cl"
info@helplinebd.net,,,Helpline Global Education Consultant,,https://www.helplinebd.net,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,Helpline Global Education Consultant is a foreign education counselling and student recruitment company based in Bangladesh. Having conducted business
info@wemsbd.com,,,Worldwide Education & Migration Services,,https://www.wemsbd.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"WEMS provides fully comprehensive consultancy services, expert advice, and innovative solutions designed to achieve the highest success rates. We also"
info@pinnacle-bd.com,,,Pinnacle Consultancy Group,,https://www.pinnacle-bd.com,Dhaka,,Bangladesh,study abroad / migration agent,icef_ias,"Established in June 2004, Pinnacle Consultancy Group was founded to provide students with a unique, personalized service to ensure a bright future and"
