email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@leohidiomas.com,,,LEOH Idiomas - Educación internacional y viajes,,https://www.leohidiomas.com,Tarragona,,Spain,study abroad / migration agent,icef_ias,Learn English On Holiday is a project of education professionals designed to help in the learning of English language through total immersion in nativ
contact@willworldglobal.com,,,Will World Global- Europe,,https://willworldglobal.com/education/,Barcelona,,Spain,study abroad / migration agent,icef_ias,WillWorld Global Education is an international education consultancy that supports students in planning and managing study opportunities abroad. The o
info@mylanguagequest.com,,,My Language Quest,,https://www.mylanguagequest.com,Huesca,,Spain,study abroad / migration agent,icef_ias,"My Language Quest helps students and families in Spanish-speaking countries plan study abroad programs in destinations like Ireland, the U.S., Canada,"
info@avalservices.es,,,Aval Student Services,,https://avalservices.es/,Valencia,,Spain,study abroad / migration agent,icef_ias,"Aval Student Services is a team of experienced, dedicated professionals committed to providing tailored solutions for international students. Our miss"
madrid@interway.es,,,InterWay Cursos de Idiomas en el Extranjero,,https://www.interway.es,Madrid,,Spain,study abroad / migration agent,icef_ias,InterWay is a Spanish education organisation that has been delivering international programmes since 1980. The company organises study and cultural ex
hello@abbla.es,,,abbla,,https://www.abbla.es,Sevilla,,Spain,study abroad / migration agent,icef_ias,abbla Idiomas is a language school based in Sevilla that helps students improve their English skills and gain real-world language experience. In addit
info@globaleducapartners.com,,,Global Educa Partners,,https://www.globaleducapartners.com,Murcia,,Spain,study abroad / migration agent,icef_ias,Global Educa Partners specializes in recruiting students for top universities in Spain and across Europe. As experts in the Spanish and European highe
info@qualitycourses.es,,,QualityCourses,,https://www.qualitycourses.es,Madrid,,Spain,study abroad / migration agent,icef_ias,"Founded in 2003 in Spain, QualityCourses is an leading organization with locations in Madrid and Barcelona, specializing in international education.  "
office@travel2study.eu,,,travel2study,,https://www.travel2study.eu/,Barcelona,,Spain,study abroad / migration agent,icef_ias,"Travel2study, founded in 2013 in Barcelona, Spain, is an education consultancy dedicated to supporting students who wish to pursue their studies abroa"
info@blaveling.com,,,Blaveling,,https://blaveling.com,Terrassa,,Spain,study abroad / migration agent,icef_ias,"Blaveling is a Barcelona-based educational agency specialising in international study and work programs. They offer English-language courses, work-and"
