email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
avarisco@bipartisanpolicy.org,Bipartisan,Policy Center,Bipartisan Policy Center,,https://bipartisanpolicy.org/podcast/this-week-in-immigration/,,,Unknown,immigration podcast host,immigration_podcast,This Week in Immigration gives you a rundown of key immigration issues. Experts from the Bipartisan Policy Center discuss and analyze all that is new 
info@immigrationlawyerstoolbox.com,John,Khosravi,"John Khosravi, Esq.",,https://www.ILTBox.com,,,Unknown,immigration podcast host,immigration_podcast,"In Depth Discussions, Interviews and Legal Analysis of Immigration Law and Practice with Professionals in the Field, with Host John Khosravi, Esq. IMP"
mcgahanc@newschool.edu,Catherine,McGahan,Zolberg Institute on Migration and Mobility,,https://zolberginstitute.org/series/unsettled/,,,Unknown,immigration podcast host,immigration_podcast,Unsettled: Immigration in Turbulent Times examines Trump administration policies and actions affecting immigration and migrants and their communities.
lhanson@fairus.org,Luke,Hanson,Federation for American Immigration Reform,,https://www.fairus.org/,,,Unknown,immigration podcast host,immigration_podcast,The Federation for American Immigration Reform's podcast bringing you the most important updates about U.S. immigration. Featuring special guests incl
immigrationreviewpodcast@gmail.com,Kevin,"A. Gregg, Esq. (kgregg@kktplaw.com)","Kevin A. Gregg, Esq. (kgregg@kktplaw.com)",,https://www.kktplaw.com/immigration-review-podcast/,,,Unknown,immigration podcast host,immigration_podcast,
podcasts60+5ae10870@anchor.fm,Mike,McMaster,Mike McMaster,,https://podcasters.spotify.com/pod/show/mike--mcmaster,,,Unknown,immigration podcast host,immigration_podcast,"In this series, law student Mike McMaster will explore the origins of immigration law in the United States, focusing on the development of the laws, t"
podcasts5+17464@anchor.fm,Tania,"Silva, La Abogada Fiera","Tania Silva, La Abogada Fiera",,TheImmigrationForce.com,,,Unknown,immigration podcast host,immigration_podcast,Learn about American immigration law from The Immigration Force™. We are the special forces of immigration lawyers.™
rberardi@usimmlawyer.com,Rosanna,Berardi,Rosanna Berardi,,https://berardiimmigrationlaw.com/,,,Unknown,immigration podcast host,immigration_podcast,"Everyone is talking about US immigration law, but few truly understand how it works. Rosanna Berardi brings a unique perspective to this complex topic"
ckuck@immigration.net,The,Immigration Hour,Charles H. Kuck,,https://soundcloud.com/user-474250731,,,Unknown,immigration podcast host,immigration_podcast,Podcast by Charles H. Kuck
vasant@murthy.com,Murthy,Law Firm,Murthy Law Firm,,http://www.murthy.com,,,Unknown,immigration podcast host,immigration_podcast,U.S. Immigration News & Analysis
production@ricochet.com,Center,for Immigration Studies,Center for Immigration Studies,,https://cis.org/Podcasts/Parsing-Immigration-Policy,,,Unknown,immigration podcast host,immigration_podcast,
james@docketwise.com,James,Pittman,James Pittman - Docketwise,,http://www.docketwise.com,,,Unknown,immigration podcast host,immigration_podcast,Welcome to Immigration Uncovered: A 8am DocketWise Podcast 
scottberry@marketcrest.com,Scott,Berry,Immigration Nation,,https://immigrationnationpodcast.com/series/immigration-nation-podcast/,,,Unknown,immigration podcast host,immigration_podcast,"Welcome to Immigration Nation, the podcast that dives deep into the complex and often misunderstood world of United States immigration. Through interv"
bob@webberimmigration.com,Robert,Webber,Robert Webber,,https://webberimmigration.substack.com/s/the-maze,,,Unknown,immigration podcast host,immigration_podcast,
info@jqklaw.com,John,Khosravi,JQK Law,,https://JQKLaw.com,,,Unknown,immigration podcast host,immigration_podcast,U.S. Immigration Law Questions from Listeners living across the world. Every Tuesday at 5 PM Pacific. On: TikTok: ImmigrationLawyerJohn 
immigrationstoriespodcast@gmail.com,Nestor,Gomez,"Nestor Gomez & Angel Ling, Chicago- & NYC- storytellers",,http://www.nestorgomezstoryteller.com,,,Unknown,immigration podcast host,immigration_podcast,"A show about US immigration - and all things related - national identity, culture, family, and borders. And since the US is a country of immigrants: i"
podcasts@sbgtv.com,Bob,Gambert,Sinclair Broadcast Group,,https://art19.com/shows/immigration-crisis,,,Unknown,immigration podcast host,immigration_podcast,Yami Virgin with what you need to know about the border.
ari@crooked.com,Image,Lab Media Group,Joy-Ann Reid,,,,,Unknown,immigration podcast host,immigration_podcast,"A three times weekly dose of Joy-Ann Reid's takes and analysis of the news, politics and culture. If it's hot and happening, and matters to you, it's "
webmaster.ice@ice.dhs.gov,ICEgov,,U.S. Immigration and Customs Enforcement,,https://soundcloud.com/user-98067797,,,Unknown,immigration podcast host,immigration_podcast,"ICE enforces federal laws governing border control, customs, trade and immigration to promote homeland security and public safety."
therunup@nytimes.com,The,New York Times,The New York Times,,https://www.nytimes.com/column/election-run-up-podcast,,,Unknown,immigration podcast host,immigration_podcast,“The Run-Up” is your guide to understanding the 2024 election. Host Astead W. Herndon talks to the people whose decisions will make the difference. 
corboo@mac.com,Quiet.,Please,Inception Point Ai,,https://www.spreaker.com/podcast/us-immigration-news-and-info-tracker--6244485,,,Unknown,immigration podcast host,immigration_podcast,"US Immigration News and Info Tracker provides timely and accurate updates on the latest immigration news, policies, and information in the United Stat"
jennifer.c.allsopp@gmail.com,Immigration,and Democracy,IIH,,https://immigrationinitiative.harvard.edu/,,,Unknown,immigration podcast host,immigration_podcast,"In this series, Jennifer Allsopp and Xiren Wang bring you fresh knowledge and insight from the team at the Immigration Initiative at Harvard, led by o"
applepodcast@howstuffworks.com,iHeartPodcasts,,"My Cultura, Radio Ambulante and iHeartPodcasts",,https://www.iheart.com/podcast/7-radio-ambulante-28457191/,,,Unknown,immigration podcast host,immigration_podcast,"Radio Ambulante es un podcast pionero en español que cuenta crónicas latinoamericanas en audio, celebrando la diversidad y complejidad de la región. /"
redpill78@protonmail.com,Zak,Paine,Zak Paine,,http://www.redpill78news.com,,,Unknown,immigration podcast host,immigration_podcast,"RedPill78 is your antidote for mainstream propaganda.  News, talk and interviews 6 days a week."
reallyamericanpodcast@gmail.com,Really,American Media,Really American Media,,https://www.untruthfilm.com/,,,Unknown,immigration podcast host,immigration_podcast,
info@immigrantlypod.com,Immigrantly,Media,Saadia Khan | Immigrantly Media,,http://immigrantlypod.com,,,Unknown,immigration podcast host,immigration_podcast,"Join Saadia Khan on Immigrantly, the award-winning podcast that dives deep into immigrant narratives and the messy beauty of identity, race, and belon"
lovebeyondborderspodcast@gmail.com,Kelli,FM,Kelli FM,,http://lovebeyondborders.libsyn.com/website,,,Unknown,immigration podcast host,immigration_podcast,Love Beyond Borders is a podcast dedicated to sharing the real life stories of families affected by the complex US immigration system. Each week I'll 
marketing@directusimmigration.com,Miatrai,Brown,Miatrai Brown,,https://sites.libsyn.com/475893,,,Unknown,immigration podcast host,immigration_podcast,"Direct U.S. Immigration is a group of trusted immigration attorneys, consultants, and specialists who handle simple and complex immigration matters. W"
mo@immigrationainteasy.com,Mo,Goldman,Mo Goldman,,https://immigrationainteasy.com/,,,Unknown,immigration podcast host,immigration_podcast,
info+68004395b4ef799a7a410371@mg-eu.acast.com,不明白播客,,袁莉和她的朋友们,,https://bumingbai.net/,,,Unknown,immigration podcast host,immigration_podcast,
oceanbeachpj@yahoo.com,BKactual,,BK,,https://sofrep.com/author/bk-afsoc/,,,Unknown,immigration podcast host,immigration_podcast,Podcast by BK
info@immigrationpolicyshow.com,Maybe,Hernandez,Maybe Hernandez,,https://rss.com/podcasts/immigrationpolicyshow,,,Unknown,immigration podcast host,immigration_podcast,
mbrown@salemradiochicago.com,Chicago's,Morning Answer,Dan Proft,,http://morninganswerchicago.com/,,,Unknown,immigration podcast host,immigration_podcast,
parcast@spotify.com,Spotify,Studios,Spotify Studios,,https://www.parcast.com,,,Unknown,immigration podcast host,immigration_podcast,"Discover how fast controversy can move up in the polls in Parcast’s new limited series, Political Scandals. From greed and lust to deceit and cover-up"
feeds@ausha.co,Emma,Charlin,Emma Charlin,,https://podcast.ausha.co/welcome-to-canada,,,Unknown,immigration podcast host,immigration_podcast,Welcome to Canada is the goto podcast for anyone planning to move to Canada or Quebec. ⚜️🇨🇦 Whether you’re considering temporary or permanent immigr
dreampodcast01@gmail.com,DreamPodcast,,Pele Entertainment,,http://Dreampodcast.net,,,Unknown,immigration podcast host,immigration_podcast,Dream Podcast The Truth About Immigration Hosted by Richie Maruffo and Cynthia Lopez
ctorres007@gmail.com,Catarina,Wignall,Catarina Wignall,,http://www.talkingimmigration.com,,,Unknown,immigration podcast host,immigration_podcast,Interviews with immigration experts to talk about how US immigration actually works.
mholthe@holthelaw.com,Mark,Holthe,Mark Holthe,,https://www.canadianimmigrationinstitute.com/podcasts/canadian-immigration-podcast,,,Unknown,immigration podcast host,immigration_podcast,"This podcast is all about Canadian Immigration law, policy, and practice. Periodically Canadian immigration lawyer Mark Holthe will address various to"
krayburn@bal.com,Richard,Kelly Rayburn,BAL News,,https://www.bal.com/news,,,Unknown,immigration podcast host,immigration_podcast,"The BAL Immigration Report gives you all of the news you need to know to navigate the world of corporate immigration. Every week, we offer the latest "
