first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url
,,A+ YES Guardians 家,Education Guardian,hello@yesguardians.co.uk,+4407429553356,https://yesguardians.co.uk,yesguardians.co.uk,Cheltenham,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Academic Families Ltd,Education Guardian,enquiries@academicfamilies.com,+4401313313317,http://www.academicfamilies.com,academicfamilies.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Academic Guardians UK Ltd,Education Guardian,office@academic-guardians.co.uk,+4402035158880,http://www.academic-guardians.co.uk,academic-guardians.co.uk,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Alpha Guardians,Education Guardian,info@alphaguardians.co.uk,+4401473375184,http://www.alphaguardians.co.uk,alphaguardians.co.uk,Ipswich,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Alpha Plus Guardian Services,Education Guardian,office@alphaplusguardians.co.uk,+4407981705275,http://www.alphaplusguardians.co.uk,alphaplusguardians.co.uk,Brimpsfield,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Amber Education UK,Education Guardian,ag@amberedu.co.uk,+4402077340274,http://www.amberedu.co.uk,amberedu.co.uk,Soho,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Aspire Guardians,Education Guardian,info@aspireguardians.com,+4407542181244,https://www.aspireguardians.com,aspireguardians.com,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Belgravia Guardians,Education Guardian,info@bg-london.com,+4407724201894,https://www.bg-london.com,bg-london.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Berkeley Guardians,Education Guardian,karen@berkeleyguardians.com,+4407565493818,https://www.berkeleyguardians.com,berkeleyguardians.com,The Bristol Office,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Best Start Guardians,Education Guardian,info@beststarteducation.com,+4407930732407,https://beststarteducation.com/guardianship,beststarteducation.com,Harpenden,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,BOSSS Guardians         英国博学 教育监护集团,Education Guardian,info@bosssguardians.com,+4401202980804,http://www.bosssguardians.com  http://www.bosssuk.co.uk,,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Bright World Guardianships Ltd,Education Guardian,info@brightworld.co.uk,+4401273835745,https://www.brightworldguardianships.com,brightworldguardianships.com,Hurstpierpoint,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Cambridge Guardian Angels,Education Guardian,info@cambridge-guardian-angels.com,+4401223237544,http://www.cambridge-guardian-angels.com,cambridge-guardian-angels.com,Cambridge,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Cambridge Guardians Ltd,Education Guardian,heather@cambridgeguardians.co.uk,+4401223570116,http://www.cambridgeguardians.co.uk,cambridgeguardians.co.uk,Cambridge,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Connexcel Ltd,Education Guardian,info@connexcel.co.uk,+4401633386800UK;+8602161357277,http://www.connexcel.co.uk,connexcel.co.uk,Langstone Business Park,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Cotswold Guardians Ltd,Education Guardian,anne@cotswold-guardians.co.uk,+4401285711789,https://cotswold-guardians.co.uk,cotswold-guardians.co.uk,Fairford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Crest Education Limited,Education Guardian,info@cresteducation.co.uk,+4407725345968,http://www.cresteducation.co.uk,cresteducation.co.uk,Cambridge,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,ECA Education Consultancy Ltd,Education Guardian,admin@ecaeducation.com,+4401134143518,http://www.ecaeducation.com,ecaeducation.com,Rawdon,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Education Guardianship UK Ltd,Education Guardian,louise@educationguardianship.com,+4407775723778,https://educationguardianship.com,educationguardianship.com,Folkestone,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Edugo Guardian,Education Guardian,info@edugoguardian.com,+4407963489778,https://en.edugoguardian.com,en.edugoguardian.com,Harrow On The Hill,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,EduGuardUK Ltd,Education Guardian,enquiries@eduguarduk.com,+4402080580589Office,https://eduguarduk.com,eduguarduk.com,Borehamwood,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Elite Anglo-Chinese Services,Education Guardian,eve@eliteacs.com,+4402088956693,http://www.eliteacs.com,eliteacs.com,Hong Kong,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,English Country Guardians,Education Guardian,enquiries@englishcountryguardians.co.uk,+4407867663505,https://englishcountryguardians.co.uk,englishcountryguardians.co.uk,Oxted,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,English Guardian (part of UK Study Group),Education Guardian,marianna@ukstudycentre.com,+4402033977744,http://www.englishguardian.com,englishguardian.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Era Education,Education Guardian,info@eraeducation.co.uk,+447557532717,http://www.eraeducation.co.uk,eraeducation.co.uk,Oxford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Gabbitas Limited,Education Guardian,guardian@gabbitas.com,+4402030267443,https://gabbitas.com/,gabbitas.com,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Gateway Guardianship UK Ltd,Education Guardian,info@gateway-education.com,+4401604642082,https://www.gateway-education.com/,gateway-education.com,Northampton,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Golden Apple Tree Ltd,Education Guardian,cambridge@ukjpg.com,+4407921481600,https://www.ukjpg.com,ukjpg.com,Duxford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Great British Guardians,Education Guardian,stephen@gbguardians.com,+4401672540223,https://www.gbguardians.com,gbguardians.com,Marlborough,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Guardians International,Education Guardian,info@gis-uk.com,+4402030115788,http://www.gis-uk.com,gis-uk.com,Eynsford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Guardians UK,Education Guardian,info@guardiansuk.com,+4401823703190,http://www.guardiansuk.com,guardiansuk.com,Taunton,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Heritage Educational Planning,Education Guardian,info@heritage-education.co.uk,+4401423520126,http://www.heritage-education.co.uk,heritage-education.co.uk,North Yorkshire,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Highbridge Education Ltd,Education Guardian,info@highuk.com,+4407917431865,http://www.highuk.com/,highuk.com,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Hope Guardianship,Education Guardian,clarewang@btinternet.com,+4407887505508,https://hopeguardianship.net/,hopeguardianship.net,Cambourne,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Hui Xue British Guardianship,Education Guardian,guardians@huixue.co.uk,+4407861371677,,,St Pauls Walden,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,JD Consultancy,Education Guardian,,+4402033407829,http://www.jdconsultant.cn/index.html,jdconsultant.cn,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Launchpad Education UK Ltd,Education Guardian,info@launchpadedu.com,+4407901012461,https://www.launchpadedu.com,launchpadedu.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,London International Agency,Education Guardian,info@londonintagency.com,+4407795107532,http://londonintagency.com,londonintagency.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Maryna Jenkins Limited,Education Guardian,support@marynajenkins.co.uk,+4407542536256,https://www.marynajenkins.co.uk,marynajenkins.co.uk,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,My Guardians,Education Guardian,info@myguardians.co.uk,+4407919425660,http://myguardians.co.uk,myguardians.co.uk,Sevenoaks,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Overseas Personal Development Services,Education Guardian,sunny.field@opds.co.uk,+4407842303240;+4402086608869,http://www.opds.co.uk,opds.co.uk,Whyteleafe,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Oxbridge Group Ltd,Education Guardian,steph.gilbert@oxbridgeguardians.co.uk,+4402084323457,http://oxbridgeguardians.co.uk,oxbridgeguardians.co.uk,Devas Club,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Oxford Education and Service Ltd 牛津教育服务,Education Guardian,oes@englongeducation.com,+4401865240616,http://www.oxford-edu.com,oxford-edu.com,Oxford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Oxford Guardians,Education Guardian,info@oxfordguardians.com,+4401604859331,http://www.oxfordguardians.com,oxfordguardians.com,Gayton,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Pippa’s Guardians,Education Guardian,admissions@pippasguardians.co.uk,+4401684252757,http://www.pippasguardians.co.uk,pippasguardians.co.uk,Malvern,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Quest Guardians,Education Guardian,office@questguardians.co.uk,+4401202882299,http://www.questguardians.co.uk,questguardians.co.uk,Poole,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Redoor Education,Education Guardian,info@myredoor.com,+4402076924797,http://www.redoorguardianship.co.uk/,redoorguardianship.co.uk,Mayfair,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Regency Education,Education Guardian,contactus@regencyeducation.co.uk,+4407704170679,https://www.regencyeducation.co.uk,regencyeducation.co.uk,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Regent Guardians Ltd,Education Guardian,info@regentguardians.com,+4407411346219,https://regentguardians.com,regentguardians.com,Taunton,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Robin Guardians Ltd,Education Guardian,info@robinedu.com,+4407876497216,https://www.robinjpass.com,robinjpass.com,Guildford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Ruyang,Education Guardian,info@ruyang.co.uk,+4401162546198,http://www.ruyang.co.uk,ruyang.co.uk,Leicester,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Sable Guardians,Education Guardian,guardians@sableinternational.com,+4402077595406,https://Https://www.sableinternational.com/sable-guardians,https,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Study Links,Education Guardian,office@studylinks.co.uk,+4401274679710,http://www.studylinks.com,studylinks.com,Bradford,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Sutherland Education Ltd,Education Guardian,contact@sutherland-education.com,+4402038083800,http://www.sutherland-education.com,sutherland-education.com,Staverton,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Ten Garden Education Group,Education Guardian,kiki@tengarden.co.uk,+447885278366,http://tengarden.co.uk,tengarden.co.uk,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,The Guardian Family Network,Education Guardian,office@guardianfamily.co.uk,+Office:+4401865893213Mobile:+4407539021684,https://www.guardianfamilynetwork.com,guardianfamilynetwork.com,Chalgrove,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UK Guardians,Education Guardian,nicky@ukguardians.co.uk,+4401425529118,http://www.ukguardians.co.uk,ukguardians.co.uk,Hants,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UK Tuition Guardians Ltd,Education Guardian,guardian@uk-tuition.com,+4402083318602,http://www.uk-tuition.com,uk-tuition.com,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UK2Learn,Education Guardian,guardianship@uk2learn.com,+4401483425500,http://www.uk2learn.com,uk2learn.com,Godalming,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UKGuardianship,Education Guardian,info@ukguardianship.com,+4402035768880,http://www.ukguardianship.com,ukguardianship.com,Borehamwood,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UKinsight Ltd.,Education Guardian,info@ukinsight.co.uk,+4402035766671,https://ukinsight.co.uk/,ukinsight.co.uk,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,UM Education,Education Guardian,info@umeducation.com,+4407421367290,https://www.umeducation.com,umeducation.com,,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Vanguard UK Guardianship Ltd,Education Guardian,vanguarduk@hotmail.com,+4407795432868,http://www.ukvanguardedu.com,ukvanguardedu.com,London,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Victoria Guardianship Ltd,Education Guardian,office@victoriaguardian.co.uk,+4402039166086,https://victoriaguardian.co.uk/,victoriaguardian.co.uk,Nottingham,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,White House Guardianships,Education Guardian,info@whitehouseguardians.co.uk,+4408458686688,https://whitehouseguardians.co.uk/,whitehouseguardians.co.uk,Bournemouth,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,"Ying Lang Guardians, Glamour Edu Ltd",Education Guardian,guardian@glamouredu.com,+4401617678858,http://www.glamouredu.com,glamouredu.com,Greater Manchester,UK,UK,education,aegis,https://aegisuk.net/organisations/
,,Abbey College Malvern,Member School,,+4401684892300,https://abbeycollege.co.uk,abbeycollege.co.uk,Malvern Wells,UK,UK,education,aegis,https://aegisuk.net/organisations/
