first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,email_source
,,1 Ability Estate Agents,,info@1abilityestateagents.co.uk,020 3910 6304,,1abilityestateagents.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,1st Avenue,,info@1stavenue.co.uk,020 3909 9691,,1stavenue.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,28,,info@28.co.uk,020 3675 2735,,28.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,47 Dean Street,,info@47deanstreet.co.uk,020 3840 4004,,47deanstreet.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,4WALLS,,info@4walls.co.uk,020 3962 2090,,4walls.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,99 Home,,info@99home.co.uk,020 3846 5644,,99home.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,A Z Real Estate,,info@azrealestate.co.uk,020 3893 2085,,azrealestate.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,A2Dominion Group,,info@a2dominion.co.uk,020 3840 3499,,a2dominion.co.uk,A2Dominion Lettings,Greater London,UK,estate agent,rightmove,pattern-guess
,,Aaron Shohet Property,,info@aaronshohetproperty.com,0238 001 4366,,aaronshohetproperty.com,Covering Mill Hill,Greater London,UK,estate agent,rightmove,pattern-guess
,,Abacus Estates,,info@abacusestates.co.uk,020 3823 6521,,abacusestates.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Abatoria,,info@abatoria.co.uk,07849 107231,,abatoria.co.uk,Moorgate,Greater London,UK,estate agent,rightmove,pattern-guess
,,Abatoria,,info@abatoria.co.uk,020 3873 1685,,abatoria.co.uk,Wapping,Greater London,UK,estate agent,rightmove,pattern-guess
,,Abbeymove,,info@abbeymove.co.uk,020 8050 5047,,abbeymove.co.uk,Walthamstow,Greater London,UK,estate agent,rightmove,pattern-guess
,,AbbeySpring,,info@abbeyspring.co.uk,020 7362 9723,,abbeyspring.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Able Estates,,info@ableestates.co.uk,020 3893 3025,,ableestates.co.uk,South East London,Greater London,UK,estate agent,rightmove,pattern-guess
,,About The Stay,,info@aboutthestay.co.uk,020 4572 0640,,aboutthestay.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Absolute Living,,info@absoluteliving.co.uk,020 3834 8299,,absoluteliving.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,ABX Properties,,info@abxproperties.co.uk,020 8106 0573,,abxproperties.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,AC RESIDENTIAL,,info@acresidential.com,020 3910 6120,,acresidential.com,Mayfair,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acantha Collective,,info@acanthacollective.co.uk,020 3974 1407,,acanthacollective.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Access Self Storage Limited,,info@accessselfstorage.co.uk,020 3871 3010,,accessselfstorage.co.uk,Access Offices,Greater London,UK,estate agent,rightmove,pattern-guess
,,Accommodate Management Ltd,,,020 3907 3719,,,London,Greater London,UK,estate agent,rightmove,
,,Acorn,,info@acorn.co.uk,020 8059 2656,,acorn.co.uk,Brockley,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3840 3579,,acorn.co.uk,Camberwell,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3892 9728,,acorn.co.uk,Catford,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 8103 3840,,acorn.co.uk,Crystal Palace,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 8051 4865,,acorn.co.uk,Dulwich,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3879 4551,,acorn.co.uk,Forest Hill,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3889 5985,,acorn.co.uk,Grove Park,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3840 3851,,acorn.co.uk,Kennington,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 8106 2893,,acorn.co.uk,Lewisham,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 3879 9935,,acorn.co.uk,London Bridge,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn New Homes,,info@acornnewhomes.co.uk,020 3910 6667,,acornnewhomes.co.uk,New Homes London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn,,info@acorn.co.uk,020 7123 8480,,acorn.co.uk,Peckham Rye,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acorn Properties Nwl,,,020 3892 9704,,,London,Greater London,UK,estate agent,rightmove,
,,Acorn,,info@acorn.co.uk,020 3870 9092,,acorn.co.uk,Sydenham,Greater London,UK,estate agent,rightmove,pattern-guess
,,Acuitus Limited,,info@acuitus.co.uk,020 7870 2773,,acuitus.co.uk,Acuitus,Greater London,UK,estate agent,rightmove,pattern-guess
,,Ad Hoc Property Management Ltd,,info@adhocpropertymanagement.co.uk,020 3869 3985,,adhocpropertymanagement.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,AD1 Properties,,info@ad1properties.co.uk,020 3872 5627,,ad1properties.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Adam Hayes Estate Agents,,,020 3840 3446,,,N2,Greater London,UK,estate agent,rightmove,
,,Adam Hayes Estate Agents,,,020 3834 8296,,,N3,Greater London,UK,estate agent,rightmove,
,,Adam Hayes Estate Agents,,,020 3873 8415,,,N12,Greater London,UK,estate agent,rightmove,
,,Adam Kennedy,,info@adamkennedy.co.uk,020 8106 2469,,adamkennedy.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Adams and Styles,,,020 3835 6073,,,Southgate,Greater London,UK,estate agent,rightmove,
,,Add Living Ltd,,info@addliving.co.uk,020 3871 8278,,addliving.co.uk,Marylebone Quarter,Greater London,UK,estate agent,rightmove,pattern-guess
,,Adderstone Asset Management Limited,,,020 4572 9629,,,London,Greater London,UK,estate agent,rightmove,
,,Addison Grove,,info@addisongrove.co.uk,020 3879 5885,,addisongrove.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Addison Townsend,,info@addisontownsend.co.uk,020 8016 2304,,addisontownsend.co.uk,East Finchley,Greater London,UK,estate agent,rightmove,pattern-guess
,,Addison Townsend,,info@addisontownsend.co.uk,020 3872 8400,,addisontownsend.co.uk,Southgate,Greater London,UK,estate agent,rightmove,pattern-guess
,,Addison Townsend,,info@addisontownsend.co.uk,020 3909 6542,,addisontownsend.co.uk,Winchmore Hill,Greater London,UK,estate agent,rightmove,pattern-guess
,,Adeer UK,,info@adeer-uk.com,020 8016 2347,,adeer-uk.com,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,ADN Residential,,info@adnresidential.co.uk,020 4572 2910,,adnresidential.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,Aeria Apartments,,info@aeriaapartments.co.uk,020 3479 4103,,aeriaapartments.co.uk,London,Greater London,UK,estate agent,rightmove,pattern-guess
,,AFFORDABLE WORKSPACE PARTNERSHIP,,,020 7299 1875,,,London,Greater London,UK,estate agent,rightmove,
