email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@pistudies.com,,,Pacific International Studies,,https://www.pistudies.com,Bogotá,,Colombia,study abroad / migration agent,icef_ias,Pacific International Studies is a well known agency in Colombia with more than 19 years of experience. We send students abroad to take different prog
info@student-connection.net,,,Student Connection,,https://www.studentconnection.com.co,Bogotá,,Colombia,study abroad / migration agent,icef_ias,"We are an education agency focused on helping students access study abroad opportunities. Our aim is to provide personalised guidance, matching each s"
jovalle@edugroup.com.co,,,Edugroup - Colombia,,http://edugroup.com.co,CALI,,Colombia,study abroad / migration agent,icef_ias,"EduGroup, located in Colombia, is an educational consultancy dedicated to facilitating international study opportunities for students. Founded by a te"
info@sixteentravel.com,,,Sixteen Travel,,https://www.sixteentravel.com,Medellín,,Colombia,study abroad / migration agent,icef_ias,"We are a leading agency in the field of study abroad. We strive to provide our clients with a wide range of study abroad options, from language progra"
info@edulink.com.co,,,Edu Link Estudios en el Exterior,,https://www.edulink.com.co,Bogotá,,Colombia,study abroad / migration agent,icef_ias,Professional and dynamic international education agency based in Colombia with specialized staff providing advice and assistance to Colombian students
info@venturastudies.com,,,Ventura Studies,,https://www.venturastudies.com,Cúcuta,,Colombia,study abroad / migration agent,icef_ias,"Venture Studies is a trusted education consultancy specializing in guiding students to study abroad. We provide personalized counseling, university ap"
info@programasintercambio.com,,,Consultoría e Intercambio SAS,,https://www.programasintercambio.com,Bucaramanga,,Colombia,study abroad / migration agent,icef_ias,Consultoria e Intercambio offers personalized guidance and support for students seeking international exchange programs. We collaborate with top unive
infocol@easy2go.com.co,,,Easy2Go,,https://www.easy2go.com.co,Bogotá,,Colombia,study abroad / migration agent,icef_ias,Easy2Go is a student advisory agency with extensive expertise in the administrative and visa processes required to study abroad. We are dedicated to p
admisiones@gls.com.co,,,Global Learning Solutions (GLS),,https://www.gls.com.co,Bogotá,,Colombia,study abroad / migration agent,icef_ias,Global Learning Solutions (GLS) empowers students to realize their bilingual aspirations by guiding them through a comprehensive language learning jou
info@openmaps.com.co,,,Open Maps Estudios en el Exterior,,https://www.openmaps.com.co,Bogota,,Colombia,study abroad / migration agent,icef_ias,"We are an education agency based in Melbourne; we have over 9 years of experience in the industry. In 2018, we opened our first office in Bogotá to co"
