email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@hope-int.com,,,HOPE  INTERNATIONAL CONSULTANCY,,https://www.hope-int.com,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,"Hope International Consultancy, is an educational management and youth leadership consultancy services company providing higher education services to "
info@svgegitim.com,,,SVG Yurtdisi Egitim danismanligi,,https://www.svgegitim.com,Ankara,,Türkiye,study abroad / migration agent,icef_ias,SVG Overseas Education Consultancy supports international education institutions in recruiting qualified students from Türkiye. We work with a network
nil@ies-intervega.com,,,IES Yurtdisi Egitim,,https://www.ies-intervega.com,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,"IES-INTERVEGA EDUCATION SERVICES is the pre-eminent quality education-abroad service provider on the Turkish Eastern Mediterranean.   Our founders, Ah"
info@globalworldbridge.com,,,GlobalWorldBridge,,https://globalworldbridge.com,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,"Global World Bridge is an overseas education company based in Istanbul and managed by Abdulkadir Akkaya, an academic with a Master's degree who has be"
info@directlyeducation.com,,,Directly Education,,https://www.directlyeducation.com,,,Türkiye,study abroad / migration agent,icef_ias,
info@pisaedu.com,,,PISA Educazione,,https://pisaedu.com,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,"Pisa Edu is an education consultancy company headquartered in Istanbul Sarıyer Istanbul Skyland and has offices in Kadıköy, Izmir, Ankara, Bursa and T"
info@academyraspberry.com,,,Raspberry Academy,,https://www.academyraspberry.com,Ankara,,Türkiye,study abroad / migration agent,icef_ias,"Raspberry Academy provides expert educational consultancy, guiding students toward their academic and personal goals. The mission is to contribute to "
info@campusglobal.com.tr,,,Campus Global,,https://campusglobal.com.tr/,Ankara,,Türkiye,study abroad / migration agent,icef_ias,"With an expert team in international education consultancy, Campus Global provides reliable guidance for journeys to universities, language schools, a"
info@uniadmire.com,,,Uniadmire,,https://www.uniadmire.com,ANTALYA,,Türkiye,study abroad / migration agent,icef_ias,"From guiding students to their dream universities to simplifying the study abroad process, Uni Admire is dedicated to making international education a"
info@maylaabroad.com,,,Mayla Abroad,,https://www.maylaabroad.com,Izmir,,Türkiye,study abroad / migration agent,icef_ias,"Mayla Abroad International Education Consultancy is an education consultancy firm that provides personalized, transparent, and professional guidance t"
info@findandstudy.com,,,Find And Study,,https://www.findandstudy.com,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,Find And Study has been providing educational consultancy services from its Istanbul base since 2018. Specializing in guiding students to universities
istanbul@elt.com.tr,,,ELT International Education & Student Exchange Services,,https://www.elt.com.tr,Istanbul,,Türkiye,study abroad / migration agent,icef_ias,ELT Study Abroad and Academic Consulting Services was established in 2000 and immediately began to offer assistance to individuals wanting to work or 
