email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@contactoglobal.mx,,,Contacto Global,,http://contactoglobal.mx/,Chihuahua,,Mexico,study abroad / migration agent,icef_ias,Contacto Global is a premier agency focused on fostering educational opportunities and cultural exchange globally. We offer tailored consulting servic
crisam.educativa@gmail.com,,,Viajes Crisam,,https://crisamglobal.com/,Cuernavaca,,Mexico,study abroad / migration agent,icef_ias,"Viajes Crisam is a travel education agency, established in Cuernavaca, Morelos,  in 1998. We promote   languages programs, camps, academic years, dipl"
info@edulynks.com,,,EduLynks-exchange programs,,https://www.edulynks.com,Guadalajara,,Mexico,study abroad / migration agent,icef_ias,We are experts in international education with over 20 years of experience advising students and parents in choosing the best study program abroad.
info@classeducation.com,,,CLASS (Canadian Language & Academic Studies Services),,https://www.classeducation.com,Mexico City,,Mexico,study abroad / migration agent,icef_ias,CLASS Education is a Canadian student agency with 8 offices based in Mexico and with over 30 years of experience in the industry.    We offer a full r
info@restart.education,,,Restart Education,,https://www.restart.education,Merida,,Mexico,study abroad / migration agent,icef_ias,"Restart Education, located in Mexico, is an agency dedicated to offering study abroad opportunities for international students. Founded by professiona"
info@estudiantesembajadores.com,,,Estudiantes Embajadores,,http://estudiantesembajadores.com,Garza Garcia,,Mexico,study abroad / migration agent,icef_ias,"Estudiantes Embajadores is a consultancy company that focuses on international education. We provide, develop and manage international programs to Mex"
contacto@beyondlearning.mx,,,Beyond Learning,,https://beyondlearning.mx/,Ciudad General Escobedo,,Mexico,study abroad / migration agent,icef_ias,We are a student agency established in 2022. We recruit students from LATAM to study in Ireland. We have agreements with more than 30 colleges in Irel
informacion@acglobaleducation.com,,,AC Global Education,,https://www.acglobaleducation.com,Guadalajara,,Mexico,study abroad / migration agent,icef_ias,AC Global Education is a team of experienced female education advisors based in Mexico. The agency represents a range of internationally recognised sc
contacto@destinoseducativos.com,,,Destinos Educativos,,https://www.destinoseducativos.com,Guadalajara,,Mexico,study abroad / migration agent,icef_ias,We founded our business in order to provide educational consulting services to families and students that are looking for an environment to develop in
contact@mysite.com,,,iStudy International Trips,,https://www.istudy.mx/itrips,Ciudad Apodaca,,Mexico,study abroad / migration agent,icef_ias,"Establish in 2009 as a language center institution, iStudy is now also an educative company that offer multi services in education, including internat"
info@internationalexperience.net,,,IE - International Experience,,https://www.internationalexperience.net,Saltillo,,Mexico,study abroad / migration agent,icef_ias,We are a dynamic and innovative company originally from northern Mexico. We offer opportunities to Mexican students looking to live an academic experi
registros@mascanada.com.mx,,,MÁS Canadá,,https://www.mascanada.com.mx,Mexico City,,Mexico,study abroad / migration agent,icef_ias,MAS Canada is a trusted educational consulting agency dedicated to connecting students with international study opportunities. With over 20 years of e
info@estudiosenelextranjero.com.mx,,,Canadian & International Language Centers / CILC Corporativo,,https://estudiosenelextranjero.com.mx,Mexico City,,Mexico,study abroad / migration agent,icef_ias,Estudios en el Exterior is a trusted education consultancy dedicated to guiding students in Mexico towards international study opportunities. We offer
contact@sansoxygen.com,,,EduIB Consultores,,https://www.eduibconsultores.com,Mexico City,,Mexico,study abroad / migration agent,icef_ias,"EduIB Consultores is a leading education consultancy specializing in international student recruitment, agency management, and strategic advising. Ded"
